enc_class	enc_method	exp	kind	class	method	param	index	uri
tui.Driver#$@$#main(java.lang.String[])#$@$#ImageIO.read#$@$#METHOD	javax.imageio.ImageIO	read(java.io.File)	null	null	null
tui.Driver#$@$#main(java.lang.String[])#$@$#DARWIN_SHEET.getFitnessAnalyzer#$@$#METHOD	darwin.problemObject.DarwinSheet	getFitnessAnalyzer()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/problemObject/DarwinSheet.java
tui.Driver#$@$#main(java.lang.String[])#$@$#parameters.operations#$@$#FIELD	darwin.control.Parameters	null	operations	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/control/Parameters.java
tui.Driver#$@$#main(java.lang.String[])#$@$#parameters.nodeFactory#$@$#FIELD	darwin.control.Parameters	null	nodeFactory	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/control/Parameters.java
tui.Driver#$@$#main(java.lang.String[])#$@$#parameters.nodeFactory#$@$#FIELD	darwin.control.Parameters	null	nodeFactory	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/control/Parameters.java
tui.Driver#$@$#main(java.lang.String[])#$@$#parameters.nodeFactory#$@$#FIELD	darwin.control.Parameters	null	nodeFactory	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/control/Parameters.java
tui.Driver#$@$#main(java.lang.String[])#$@$#parameters.operationProbabilities#$@$#FIELD	darwin.control.Parameters	null	operationProbabilities	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/control/Parameters.java
tui.Driver#$@$#main(java.lang.String[])#$@$#parameters.initializer#$@$#FIELD	darwin.control.Parameters	null	initializer	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/control/Parameters.java
tui.Driver#$@$#main(java.lang.String[])#$@$#parameters.jobRunner#$@$#FIELD	darwin.control.Parameters	null	jobRunner	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/control/Parameters.java
tui.Driver#$@$#main(java.lang.String[])#$@$#parameters.elite#$@$#FIELD	darwin.control.Parameters	null	elite	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/control/Parameters.java
tui.Driver#$@$#main(java.lang.String[])#$@$#parameters.maxSize#$@$#FIELD	darwin.control.Parameters	null	maxSize	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/control/Parameters.java
tui.Driver#$@$#main(java.lang.String[])#$@$#parameters.functionSelectionProbability#$@$#FIELD	darwin.control.Parameters	null	functionSelectionProbability	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/control/Parameters.java
tui.Driver#$@$#main(java.lang.String[])#$@$#parameters.eventListener#$@$#FIELD	darwin.control.Parameters	null	eventListener	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/control/Parameters.java
tui.Driver#$@$#main(java.lang.String[])#$@$#parameters.multiobjective#$@$#FIELD	darwin.control.Parameters	null	multiobjective	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/control/Parameters.java
tui.Driver#$@$#main(java.lang.String[])#$@$#parameters.populationSize#$@$#FIELD	darwin.control.Parameters	null	populationSize	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/control/Parameters.java
tui.Driver#$@$#main(java.lang.String[])#$@$#System.out.println#$@$#METHOD	java.io.PrintStream	println(java.lang.String)	null	null	null
tui.Driver#$@$#main(java.lang.String[])#$@$#java.lang.System.out#$@$#FIELD	java.lang.System	null	out	null	null
tui.Driver#$@$#main(java.lang.String[])#$@$#System.out.println#$@$#METHOD	java.io.PrintStream	println(java.lang.String)	null	null	null
tui.Driver#$@$#main(java.lang.String[])#$@$#java.lang.System.out#$@$#FIELD	java.lang.System	null	out	null	null
tui.Driver#$@$#main(java.lang.String[])#$@$#darwin.executeGenerations#$@$#METHOD	darwin.control.Darwin	executeGenerations(int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/control/Darwin.java
tui.Driver#$@$#main(java.lang.String[])#$@$#System.out.println#$@$#METHOD	java.io.PrintStream	println(java.lang.String)	null	null	null
tui.Driver#$@$#main(java.lang.String[])#$@$#java.lang.System.out#$@$#FIELD	java.lang.System	null	out	null	null
tui.Driver#$@$#main(java.lang.String[])#$@$#DARWIN_SHEET.getOutput#$@$#METHOD	darwin.problemObject.DarwinSheet	getOutput()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/problemObject/DarwinSheet.java
tui.Driver#$@$#main(java.lang.String[])#$@$#parameters.environments.length#$@$#FIELD	Array	null	length	null	null
tui.Driver#$@$#main(java.lang.String[])#$@$#parameters.environments#$@$#FIELD	darwin.control.Parameters	null	environments	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/control/Parameters.java
tui.Driver#$@$#main(java.lang.String[])#$@$#individuals.length#$@$#FIELD	Array	null	length	null	null
tui.Driver#$@$#main(java.lang.String[])#$@$#darwin.getFitness().getBestOfGeneration#$@$#METHOD	darwin.fitness.Fitness	getBestOfGeneration(int,int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/fitness/Fitness.java
tui.Driver#$@$#main(java.lang.String[])#$@$#darwin.getFitness#$@$#METHOD	darwin.control.Darwin	getFitness()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/control/Darwin.java
tui.Driver#$@$#main(java.lang.String[])#$@$#darwin.getPopulation#$@$#METHOD	darwin.control.Darwin	getPopulation(int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/control/Darwin.java
tui.Driver#$@$#main(java.lang.String[])#$@$#pop.getIndividual#$@$#METHOD	darwin.population.Population	getIndividual(int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Population.java
tui.Driver#$@$#main(java.lang.String[])#$@$#createAndShowGUI#$@$#METHOD	tui.Driver	createAndShowGUI(darwin.problemObject.Output,darwin.population.Individual[],java.lang.Object[])	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/tui/Driver.java
tui.Driver#$@$#main(java.lang.String[])#$@$#parameters.environments#$@$#FIELD	darwin.control.Parameters	null	environments	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/control/Parameters.java
tui.Driver#$@$#main(java.lang.String[])#$@$#System.out.println#$@$#METHOD	java.io.PrintStream	println(java.lang.String)	null	null	null
tui.Driver#$@$#main(java.lang.String[])#$@$#java.lang.System.out#$@$#FIELD	java.lang.System	null	out	null	null
tui.Driver#$@$#main(java.lang.String[])#$@$#((ThreadPool)parameters.jobRunner).killThreads#$@$#METHOD	darwin.work.threadPool.ThreadPool	killThreads()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/work/threadPool/ThreadPool.java
tui.Driver#$@$#main(java.lang.String[])#$@$#parameters.jobRunner#$@$#FIELD	darwin.control.Parameters	null	jobRunner	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/control/Parameters.java
tui.Driver#$@$#main(java.lang.String[])#$@$#System.out.println#$@$#METHOD	java.io.PrintStream	println(java.lang.String)	null	null	null
tui.Driver#$@$#main(java.lang.String[])#$@$#java.lang.System.out#$@$#FIELD	java.lang.System	null	out	null	null
tui.Driver#$@$#createAndShowGUI(darwin.problemObject.Output,darwin.population.Individual[],java.lang.Object[])#$@$#frame.setDefaultCloseOperation#$@$#METHOD	javax.swing.JFrame	setDefaultCloseOperation(int)	null	null	null
tui.Driver#$@$#createAndShowGUI(darwin.problemObject.Output,darwin.population.Individual[],java.lang.Object[])#$@$#javax.swing.WindowConstants.EXIT_ON_CLOSE#$@$#FIELD	javax.swing.WindowConstants	null	EXIT_ON_CLOSE	null	null
tui.Driver#$@$#createAndShowGUI(darwin.problemObject.Output,darwin.population.Individual[],java.lang.Object[])#$@$#tabs.setPreferredSize#$@$#METHOD	javax.swing.JComponent	setPreferredSize(java.awt.Dimension)	null	null	null
tui.Driver#$@$#createAndShowGUI(darwin.problemObject.Output,darwin.population.Individual[],java.lang.Object[])#$@$#individuals.length#$@$#FIELD	Array	null	length	null	null
tui.Driver#$@$#createAndShowGUI(darwin.problemObject.Output,darwin.population.Individual[],java.lang.Object[])#$@$#individuals#$@$#PARAMETER	tui.Driver	createAndShowGUI(darwin.problemObject.Output,darwin.population.Individual[],java.lang.Object[])	individuals	1	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/tui/Driver.java
tui.Driver#$@$#createAndShowGUI(darwin.problemObject.Output,darwin.population.Individual[],java.lang.Object[])#$@$#output.getOutput#$@$#METHOD	darwin.problemObject.Output	getOutput(darwin.population.Individual,java.lang.Object)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/problemObject/Output.java
tui.Driver#$@$#createAndShowGUI(darwin.problemObject.Output,darwin.population.Individual[],java.lang.Object[])#$@$#output#$@$#PARAMETER	tui.Driver	createAndShowGUI(darwin.problemObject.Output,darwin.population.Individual[],java.lang.Object[])	output	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/tui/Driver.java
tui.Driver#$@$#createAndShowGUI(darwin.problemObject.Output,darwin.population.Individual[],java.lang.Object[])#$@$#individuals#$@$#PARAMETER	tui.Driver	createAndShowGUI(darwin.problemObject.Output,darwin.population.Individual[],java.lang.Object[])	individuals	1	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/tui/Driver.java
tui.Driver#$@$#createAndShowGUI(darwin.problemObject.Output,darwin.population.Individual[],java.lang.Object[])#$@$#environments#$@$#PARAMETER	tui.Driver	createAndShowGUI(darwin.problemObject.Output,darwin.population.Individual[],java.lang.Object[])	environments	2	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/tui/Driver.java
tui.Driver#$@$#createAndShowGUI(darwin.problemObject.Output,darwin.population.Individual[],java.lang.Object[])#$@$#scroll.setHorizontalScrollBarPolicy#$@$#METHOD	javax.swing.JScrollPane	setHorizontalScrollBarPolicy(int)	null	null	null
tui.Driver#$@$#createAndShowGUI(darwin.problemObject.Output,darwin.population.Individual[],java.lang.Object[])#$@$#javax.swing.ScrollPaneConstants.HORIZONTAL_SCROLLBAR_ALWAYS#$@$#FIELD	javax.swing.ScrollPaneConstants	null	HORIZONTAL_SCROLLBAR_ALWAYS	null	null
tui.Driver#$@$#createAndShowGUI(darwin.problemObject.Output,darwin.population.Individual[],java.lang.Object[])#$@$#scroll.setVerticalScrollBarPolicy#$@$#METHOD	javax.swing.JScrollPane	setVerticalScrollBarPolicy(int)	null	null	null
tui.Driver#$@$#createAndShowGUI(darwin.problemObject.Output,darwin.population.Individual[],java.lang.Object[])#$@$#javax.swing.ScrollPaneConstants.VERTICAL_SCROLLBAR_ALWAYS#$@$#FIELD	javax.swing.ScrollPaneConstants	null	VERTICAL_SCROLLBAR_ALWAYS	null	null
tui.Driver#$@$#createAndShowGUI(darwin.problemObject.Output,darwin.population.Individual[],java.lang.Object[])#$@$#tabs.addTab#$@$#METHOD	javax.swing.JTabbedPane	addTab(java.lang.String,java.awt.Component)	null	null	null
tui.Driver#$@$#createAndShowGUI(darwin.problemObject.Output,darwin.population.Individual[],java.lang.Object[])#$@$#frame.getContentPane().add#$@$#METHOD	java.awt.Container	add(java.awt.Component)	null	null	null
tui.Driver#$@$#createAndShowGUI(darwin.problemObject.Output,darwin.population.Individual[],java.lang.Object[])#$@$#frame.getContentPane#$@$#METHOD	javax.swing.JFrame	getContentPane()	null	null	null
tui.Driver#$@$#createAndShowGUI(darwin.problemObject.Output,darwin.population.Individual[],java.lang.Object[])#$@$#frame.pack#$@$#METHOD	java.awt.Window	pack()	null	null	null
tui.Driver#$@$#createAndShowGUI(darwin.problemObject.Output,darwin.population.Individual[],java.lang.Object[])#$@$#frame.setVisible#$@$#METHOD	java.awt.Window	setVisible(boolean)	null	null	null
darwin.population.Individual#$@$#Individual(java.lang.Class[])#$@$#this.treeTypes#$@$#FIELD	darwin.population.Individual	null	treeTypes	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Individual.java
darwin.population.Individual#$@$#Individual(java.lang.Class[])#$@$#this#$@$#FIELD	darwin.population.Individual	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Individual.java
darwin.population.Individual#$@$#Individual(java.lang.Class[])#$@$#treeTypes#$@$#PARAMETER	darwin.population.Individual	Individual(java.lang.Class[])	treeTypes	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Individual.java
darwin.population.Individual#$@$#Individual(java.lang.Class[])#$@$#this.trees#$@$#FIELD	darwin.population.Individual	null	trees	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Individual.java
darwin.population.Individual#$@$#Individual(java.lang.Class[])#$@$#this#$@$#FIELD	darwin.population.Individual	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Individual.java
darwin.population.Individual#$@$#Individual(java.lang.Class[])#$@$#treeTypes.length#$@$#FIELD	Array	null	length	null	null
darwin.population.Individual#$@$#Individual(java.lang.Class[])#$@$#treeTypes#$@$#PARAMETER	darwin.population.Individual	Individual(java.lang.Class[])	treeTypes	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Individual.java
darwin.population.Individual#$@$#Individual(darwin.population.Node[])#$@$#this.trees#$@$#FIELD	darwin.population.Individual	null	trees	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Individual.java
darwin.population.Individual#$@$#Individual(darwin.population.Node[])#$@$#this#$@$#FIELD	darwin.population.Individual	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Individual.java
darwin.population.Individual#$@$#Individual(darwin.population.Node[])#$@$#trees#$@$#PARAMETER	darwin.population.Individual	Individual(darwin.population.Node[])	trees	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Individual.java
darwin.population.Individual#$@$#Individual(darwin.population.Node[])#$@$#treeTypes#$@$#FIELD	darwin.population.Individual	null	treeTypes	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Individual.java
darwin.population.Individual#$@$#Individual(darwin.population.Node[])#$@$#trees.length#$@$#FIELD	Array	null	length	null	null
darwin.population.Individual#$@$#Individual(darwin.population.Node[])#$@$#trees#$@$#PARAMETER	darwin.population.Individual	Individual(darwin.population.Node[])	trees	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Individual.java
darwin.population.Individual#$@$#Individual(darwin.population.Node[])#$@$#trees.length#$@$#FIELD	Array	null	length	null	null
darwin.population.Individual#$@$#Individual(darwin.population.Node[])#$@$#trees#$@$#PARAMETER	darwin.population.Individual	Individual(darwin.population.Node[])	trees	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Individual.java
darwin.population.Individual#$@$#Individual(darwin.population.Node[])#$@$#treeTypes#$@$#FIELD	darwin.population.Individual	null	treeTypes	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Individual.java
darwin.population.Individual#$@$#Individual(darwin.population.Node[])#$@$#trees[i].getReturnType#$@$#METHOD	darwin.population.Node	getReturnType()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Node.java
darwin.population.Individual#$@$#Individual(darwin.population.Node[])#$@$#trees#$@$#PARAMETER	darwin.population.Individual	Individual(darwin.population.Node[])	trees	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Individual.java
darwin.population.Individual#$@$#getNumTrees()#$@$#trees.length#$@$#FIELD	Array	null	length	null	null
darwin.population.Individual#$@$#getNumTrees()#$@$#trees#$@$#FIELD	darwin.population.Individual	null	trees	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Individual.java
darwin.population.Individual#$@$#getTreeType(int)#$@$#treeTypes#$@$#FIELD	darwin.population.Individual	null	treeTypes	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Individual.java
darwin.population.Individual#$@$#getTreeType(int)#$@$#index#$@$#PARAMETER	darwin.population.Individual	getTreeType(int)	index	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Individual.java
darwin.population.Individual#$@$#getTree(int)#$@$#trees#$@$#FIELD	darwin.population.Individual	null	trees	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Individual.java
darwin.population.Individual#$@$#getTree(int)#$@$#index#$@$#PARAMETER	darwin.population.Individual	getTree(int)	index	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Individual.java
darwin.population.Individual#$@$#setTree(int,darwin.population.Node)#$@$#treeTypes[index].isAssignableFrom#$@$#METHOD	java.lang.Class	isAssignableFrom(java.lang.Class)	null	null	null
darwin.population.Individual#$@$#setTree(int,darwin.population.Node)#$@$#treeTypes#$@$#FIELD	darwin.population.Individual	null	treeTypes	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Individual.java
darwin.population.Individual#$@$#setTree(int,darwin.population.Node)#$@$#index#$@$#PARAMETER	darwin.population.Individual	setTree(int,darwin.population.Node)	index	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Individual.java
darwin.population.Individual#$@$#setTree(int,darwin.population.Node)#$@$#tree.getReturnType#$@$#METHOD	darwin.population.Node	getReturnType()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Node.java
darwin.population.Individual#$@$#setTree(int,darwin.population.Node)#$@$#tree#$@$#PARAMETER	darwin.population.Individual	setTree(int,darwin.population.Node)	tree	1	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Individual.java
darwin.population.Individual#$@$#setTree(int,darwin.population.Node)#$@$#trees#$@$#FIELD	darwin.population.Individual	null	trees	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Individual.java
darwin.population.Individual#$@$#setTree(int,darwin.population.Node)#$@$#index#$@$#PARAMETER	darwin.population.Individual	setTree(int,darwin.population.Node)	index	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Individual.java
darwin.population.Individual#$@$#setTree(int,darwin.population.Node)#$@$#tree#$@$#PARAMETER	darwin.population.Individual	setTree(int,darwin.population.Node)	tree	1	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Individual.java
darwin.population.Individual#$@$#setTree(int,darwin.population.Node)#$@$#trees[index].setGrandParent#$@$#METHOD	darwin.population.Node	setGrandParent(darwin.population.Individual,int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Node.java
darwin.population.Individual#$@$#setTree(int,darwin.population.Node)#$@$#trees#$@$#FIELD	darwin.population.Individual	null	trees	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Individual.java
darwin.population.Individual#$@$#setTree(int,darwin.population.Node)#$@$#index#$@$#PARAMETER	darwin.population.Individual	setTree(int,darwin.population.Node)	index	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Individual.java
darwin.population.Individual#$@$#setTree(int,darwin.population.Node)#$@$#this#$@$#FIELD	darwin.population.Individual	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Individual.java
