enc_class	enc_method	exp	kind	class	method	param	index	uri
com.andreev.parking.logic.ParkingList#$@$#getInstence()#$@$#com.andreev.parking.logic.ParkingList$ParkingListHolder.PARKING_LIST#$@$#FIELD	com.andreev.parking.logic.ParkingList$ParkingListHolder	null	PARKING_LIST	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/logic/ParkingList.java
com.andreev.parking.model.ParkingPlacePool#$@$#ParkingPlacePool(java.util.List)#$@$#this#$@$#FIELD	com.andreev.parking.model.ParkingPlacePool	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/ParkingPlacePool.java
com.andreev.parking.model.ParkingPlacePool#$@$#ParkingPlacePool(java.util.List)#$@$#places.size#$@$#METHOD	java.util.List	size()	null	null	null
com.andreev.parking.model.ParkingPlacePool#$@$#ParkingPlacePool(java.util.List)#$@$#places#$@$#PARAMETER	com.andreev.parking.model.ParkingPlacePool	ParkingPlacePool(java.util.List)	places	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/ParkingPlacePool.java
com.andreev.parking.model.ParkingPlacePool#$@$#ParkingPlacePool(java.util.List)#$@$#this.SEMAPHORE#$@$#FIELD	com.andreev.parking.model.ParkingPlacePool	null	SEMAPHORE	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/ParkingPlacePool.java
com.andreev.parking.model.ParkingPlacePool#$@$#ParkingPlacePool(java.util.List)#$@$#this#$@$#FIELD	com.andreev.parking.model.ParkingPlacePool	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/ParkingPlacePool.java
com.andreev.parking.model.ParkingPlacePool#$@$#ParkingPlacePool(java.util.List)#$@$#SIZE#$@$#FIELD	com.andreev.parking.model.ParkingPlacePool	null	SIZE	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/ParkingPlacePool.java
com.andreev.parking.model.ParkingPlacePool#$@$#ParkingPlacePool(java.util.List)#$@$#this.PLACES.addAll#$@$#METHOD	java.util.List	addAll(java.util.Collection)	null	null	null
com.andreev.parking.model.ParkingPlacePool#$@$#ParkingPlacePool(java.util.List)#$@$#this.PLACES#$@$#FIELD	com.andreev.parking.model.ParkingPlacePool	null	PLACES	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/ParkingPlacePool.java
com.andreev.parking.model.ParkingPlacePool#$@$#ParkingPlacePool(java.util.List)#$@$#this#$@$#FIELD	com.andreev.parking.model.ParkingPlacePool	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/ParkingPlacePool.java
com.andreev.parking.model.ParkingPlacePool#$@$#ParkingPlacePool(java.util.List)#$@$#places#$@$#PARAMETER	com.andreev.parking.model.ParkingPlacePool	ParkingPlacePool(java.util.List)	places	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/ParkingPlacePool.java
com.andreev.parking.model.ParkingPlacePool#$@$#getParkingPlace(long)#$@$#SEMAPHORE.tryAcquire#$@$#METHOD	java.util.concurrent.Semaphore	tryAcquire(long,java.util.concurrent.TimeUnit)	null	null	null
com.andreev.parking.model.ParkingPlacePool#$@$#getParkingPlace(long)#$@$#SEMAPHORE#$@$#FIELD	com.andreev.parking.model.ParkingPlacePool	null	SEMAPHORE	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/ParkingPlacePool.java
com.andreev.parking.model.ParkingPlacePool#$@$#getParkingPlace(long)#$@$#maxWaitMillis#$@$#PARAMETER	com.andreev.parking.model.ParkingPlacePool	getParkingPlace(long)	maxWaitMillis	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/ParkingPlacePool.java
com.andreev.parking.model.ParkingPlacePool#$@$#getParkingPlace(long)#$@$#getItem#$@$#METHOD	com.andreev.parking.model.ParkingPlacePool	getItem()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/ParkingPlacePool.java
com.andreev.parking.model.ParkingPlacePool#$@$#returnParkingPlace(com.andreev.parking.model.ParkingPlace)#$@$#releaseItem#$@$#METHOD	com.andreev.parking.model.ParkingPlacePool	releaseItem(com.andreev.parking.model.ParkingPlace)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/ParkingPlacePool.java
com.andreev.parking.model.ParkingPlacePool#$@$#returnParkingPlace(com.andreev.parking.model.ParkingPlace)#$@$#place#$@$#PARAMETER	com.andreev.parking.model.ParkingPlacePool	returnParkingPlace(com.andreev.parking.model.ParkingPlace)	place	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/ParkingPlacePool.java
com.andreev.parking.model.ParkingPlacePool#$@$#returnParkingPlace(com.andreev.parking.model.ParkingPlace)#$@$#SEMAPHORE.release#$@$#METHOD	java.util.concurrent.Semaphore	release()	null	null	null
com.andreev.parking.model.ParkingPlacePool#$@$#returnParkingPlace(com.andreev.parking.model.ParkingPlace)#$@$#SEMAPHORE#$@$#FIELD	com.andreev.parking.model.ParkingPlacePool	null	SEMAPHORE	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/ParkingPlacePool.java
com.andreev.parking.model.ParkingPlacePool#$@$#getItem()#$@$#value#$@$#METHOD	java.lang.SuppressWarnings	value()	null	null	null
com.andreev.parking.model.ParkingPlacePool#$@$#getItem()#$@$#LOCK.lock#$@$#METHOD	java.util.concurrent.locks.Lock	lock()	null	null	null
com.andreev.parking.model.ParkingPlacePool#$@$#getItem()#$@$#LOCK#$@$#FIELD	com.andreev.parking.model.ParkingPlacePool	null	LOCK	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/ParkingPlacePool.java
com.andreev.parking.model.ParkingPlacePool#$@$#getItem()#$@$#SIZE#$@$#FIELD	com.andreev.parking.model.ParkingPlacePool	null	SIZE	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/ParkingPlacePool.java
com.andreev.parking.model.ParkingPlacePool#$@$#getItem()#$@$#PLACES.get#$@$#METHOD	java.util.List	get(int)	null	null	null
com.andreev.parking.model.ParkingPlacePool#$@$#getItem()#$@$#PLACES#$@$#FIELD	com.andreev.parking.model.ParkingPlacePool	null	PLACES	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/ParkingPlacePool.java
com.andreev.parking.model.ParkingPlacePool#$@$#getItem()#$@$#place.isUsed#$@$#METHOD	com.andreev.parking.model.ParkingPlace	isUsed()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/ParkingPlace.java
com.andreev.parking.model.ParkingPlacePool#$@$#getItem()#$@$#place.togleUsed#$@$#METHOD	com.andreev.parking.model.ParkingPlace	togleUsed()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/ParkingPlace.java
com.andreev.parking.model.ParkingPlacePool#$@$#getItem()#$@$#LOCK.unlock#$@$#METHOD	java.util.concurrent.locks.Lock	unlock()	null	null	null
com.andreev.parking.model.ParkingPlacePool#$@$#getItem()#$@$#LOCK#$@$#FIELD	com.andreev.parking.model.ParkingPlacePool	null	LOCK	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/ParkingPlacePool.java
com.andreev.parking.model.ParkingPlacePool#$@$#releaseItem(com.andreev.parking.model.ParkingPlace)#$@$#LOCK.lock#$@$#METHOD	java.util.concurrent.locks.Lock	lock()	null	null	null
com.andreev.parking.model.ParkingPlacePool#$@$#releaseItem(com.andreev.parking.model.ParkingPlace)#$@$#LOCK#$@$#FIELD	com.andreev.parking.model.ParkingPlacePool	null	LOCK	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/ParkingPlacePool.java
com.andreev.parking.model.ParkingPlacePool#$@$#releaseItem(com.andreev.parking.model.ParkingPlace)#$@$#PLACES.indexOf#$@$#METHOD	java.util.List	indexOf(java.lang.Object)	null	null	null
com.andreev.parking.model.ParkingPlacePool#$@$#releaseItem(com.andreev.parking.model.ParkingPlace)#$@$#PLACES#$@$#FIELD	com.andreev.parking.model.ParkingPlacePool	null	PLACES	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/ParkingPlacePool.java
com.andreev.parking.model.ParkingPlacePool#$@$#releaseItem(com.andreev.parking.model.ParkingPlace)#$@$#place#$@$#PARAMETER	com.andreev.parking.model.ParkingPlacePool	releaseItem(com.andreev.parking.model.ParkingPlace)	place	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/ParkingPlacePool.java
com.andreev.parking.model.ParkingPlacePool#$@$#releaseItem(com.andreev.parking.model.ParkingPlace)#$@$#PLACES.get(index).isUsed#$@$#METHOD	com.andreev.parking.model.ParkingPlace	isUsed()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/ParkingPlace.java
com.andreev.parking.model.ParkingPlacePool#$@$#releaseItem(com.andreev.parking.model.ParkingPlace)#$@$#PLACES.get#$@$#METHOD	java.util.List	get(int)	null	null	null
com.andreev.parking.model.ParkingPlacePool#$@$#releaseItem(com.andreev.parking.model.ParkingPlace)#$@$#PLACES#$@$#FIELD	com.andreev.parking.model.ParkingPlacePool	null	PLACES	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/ParkingPlacePool.java
com.andreev.parking.model.ParkingPlacePool#$@$#releaseItem(com.andreev.parking.model.ParkingPlace)#$@$#place.togleUsed#$@$#METHOD	com.andreev.parking.model.ParkingPlace	togleUsed()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/ParkingPlace.java
com.andreev.parking.model.ParkingPlacePool#$@$#releaseItem(com.andreev.parking.model.ParkingPlace)#$@$#place#$@$#PARAMETER	com.andreev.parking.model.ParkingPlacePool	releaseItem(com.andreev.parking.model.ParkingPlace)	place	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/ParkingPlacePool.java
com.andreev.parking.model.ParkingPlacePool#$@$#releaseItem(com.andreev.parking.model.ParkingPlace)#$@$#LOCK.unlock#$@$#METHOD	java.util.concurrent.locks.Lock	unlock()	null	null	null
com.andreev.parking.model.ParkingPlacePool#$@$#releaseItem(com.andreev.parking.model.ParkingPlace)#$@$#LOCK#$@$#FIELD	com.andreev.parking.model.ParkingPlacePool	null	LOCK	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/ParkingPlacePool.java
com.andreev.parking.model.exception.ParkingException#$@$#ParkingException(java.lang.String)#$@$#message#$@$#PARAMETER	com.andreev.parking.model.exception.ParkingException	ParkingException(java.lang.String)	message	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/exception/ParkingException.java
com.andreev.parking.model.exception.ParkingException#$@$#ParkingException(java.lang.Throwable)#$@$#cause#$@$#PARAMETER	com.andreev.parking.model.exception.ParkingException	ParkingException(java.lang.Throwable)	cause	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/exception/ParkingException.java
com.andreev.parking.model.exception.ParkingException#$@$#ParkingException(java.lang.String,java.lang.Throwable)#$@$#message#$@$#PARAMETER	com.andreev.parking.model.exception.ParkingException	ParkingException(java.lang.String,java.lang.Throwable)	message	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/exception/ParkingException.java
com.andreev.parking.model.exception.ParkingException#$@$#ParkingException(java.lang.String,java.lang.Throwable)#$@$#cause#$@$#PARAMETER	com.andreev.parking.model.exception.ParkingException	ParkingException(java.lang.String,java.lang.Throwable)	cause	1	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/exception/ParkingException.java
com.andreev.parking.model.exception.ParkingException#$@$#ParkingException(java.lang.String,java.lang.Throwable,boolean,boolean)#$@$#message#$@$#PARAMETER	com.andreev.parking.model.exception.ParkingException	ParkingException(java.lang.String,java.lang.Throwable,boolean,boolean)	message	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/exception/ParkingException.java
com.andreev.parking.model.exception.ParkingException#$@$#ParkingException(java.lang.String,java.lang.Throwable,boolean,boolean)#$@$#cause#$@$#PARAMETER	com.andreev.parking.model.exception.ParkingException	ParkingException(java.lang.String,java.lang.Throwable,boolean,boolean)	cause	1	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/exception/ParkingException.java
com.andreev.parking.model.exception.ParkingException#$@$#ParkingException(java.lang.String,java.lang.Throwable,boolean,boolean)#$@$#enableSuppression#$@$#PARAMETER	com.andreev.parking.model.exception.ParkingException	ParkingException(java.lang.String,java.lang.Throwable,boolean,boolean)	enableSuppression	2	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/exception/ParkingException.java
com.andreev.parking.model.exception.ParkingException#$@$#ParkingException(java.lang.String,java.lang.Throwable,boolean,boolean)#$@$#writableStackTrace#$@$#PARAMETER	com.andreev.parking.model.exception.ParkingException	ParkingException(java.lang.String,java.lang.Throwable,boolean,boolean)	writableStackTrace	3	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/exception/ParkingException.java
com.andreev.parking.model.exception.CarException#$@$#CarException(java.lang.String)#$@$#message#$@$#PARAMETER	com.andreev.parking.model.exception.CarException	CarException(java.lang.String)	message	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/exception/CarException.java
com.andreev.parking.model.exception.CarException#$@$#CarException(java.lang.Throwable)#$@$#cause#$@$#PARAMETER	com.andreev.parking.model.exception.CarException	CarException(java.lang.Throwable)	cause	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/exception/CarException.java
com.andreev.parking.model.exception.CarException#$@$#CarException(java.lang.String,java.lang.Throwable)#$@$#message#$@$#PARAMETER	com.andreev.parking.model.exception.CarException	CarException(java.lang.String,java.lang.Throwable)	message	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/exception/CarException.java
com.andreev.parking.model.exception.CarException#$@$#CarException(java.lang.String,java.lang.Throwable)#$@$#cause#$@$#PARAMETER	com.andreev.parking.model.exception.CarException	CarException(java.lang.String,java.lang.Throwable)	cause	1	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/exception/CarException.java
