enc_class	enc_method	exp	kind	class	method	param	index	uri
es.dagaren.gladiator.main.Main#$@$#main(java.lang.String[])#$@$#args.length#$@$#FIELD	Array	null	length	null	null
es.dagaren.gladiator.main.Main#$@$#executeEvaluatePosition(java.lang.String)#$@$#eval.evaluate#$@$#METHOD	es.dagaren.gladiator.evaluation.Evaluator	evaluate(es.dagaren.gladiator.representation.Position)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/evaluation/Evaluator.java
es.dagaren.gladiator.main.Main#$@$#executeEvaluatePosition(java.lang.String)#$@$#System.out.println#$@$#METHOD	java.io.PrintStream	println(java.lang.String)	null	null	null
es.dagaren.gladiator.main.Main#$@$#executeEvaluatePosition(java.lang.String)#$@$#java.lang.System.out#$@$#FIELD	java.lang.System	null	out	null	null
es.dagaren.gladiator.main.Main#$@$#executeEvaluatePosition(java.lang.String)#$@$#position.toString#$@$#METHOD	java.lang.Object	toString()	null	null	null
es.dagaren.gladiator.main.Main#$@$#executeEvaluatePosition(java.lang.String)#$@$#System.out.println#$@$#METHOD	java.io.PrintStream	println(java.lang.String)	null	null	null
es.dagaren.gladiator.main.Main#$@$#executeEvaluatePosition(java.lang.String)#$@$#java.lang.System.out#$@$#FIELD	java.lang.System	null	out	null	null
es.dagaren.gladiator.main.Main#$@$#executeXboard()#$@$#xboardController.setCommandController#$@$#METHOD	es.dagaren.gladiator.communication.ProtocolController	setCommandController(es.dagaren.gladiator.communication.CommandController)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/communication/ProtocolController.java
es.dagaren.gladiator.main.Main#$@$#executeXboard()#$@$#xboardAdapter.setEngine#$@$#METHOD	es.dagaren.gladiator.communication.xboard.EngineAdapter	setEngine(es.dagaren.gladiator.engine.Engine)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/communication/xboard/EngineAdapter.java
es.dagaren.gladiator.main.Main#$@$#executeXboard()#$@$#xboardAdapter.setEngineController#$@$#METHOD	es.dagaren.gladiator.communication.xboard.EngineAdapter	setEngineController(es.dagaren.gladiator.communication.xboard.EngineController)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/communication/xboard/EngineAdapter.java
es.dagaren.gladiator.main.Main#$@$#executeXboard()#$@$#xboardController.setReceiver#$@$#METHOD	es.dagaren.gladiator.communication.xboard.EngineController	setReceiver(es.dagaren.gladiator.communication.xboard.UserToEngine)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/communication/xboard/EngineController.java
es.dagaren.gladiator.main.Main#$@$#executeXboard()#$@$#commandController.start#$@$#METHOD	es.dagaren.gladiator.communication.CommandController	start()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/communication/CommandController.java
es.dagaren.gladiator.main.Main#$@$#executeXboard()#$@$#gladiatorEngine.waitForFinish#$@$#METHOD	es.dagaren.gladiator.engine.Engine	waitForFinish()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/engine/Engine.java
es.dagaren.gladiator.main.Main#$@$#executeXboard()#$@$#commandController.stop#$@$#METHOD	es.dagaren.gladiator.communication.CommandController	stop()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/communication/CommandController.java
es.dagaren.gladiator.main.Main#$@$#executeXboard()#$@$#logger.info#$@$#METHOD	org.apache.log4j.Category	info(java.lang.Object)	null	null	null
es.dagaren.gladiator.main.Main#$@$#executeXboard()#$@$#es.dagaren.gladiator.main.Main.logger#$@$#FIELD	es.dagaren.gladiator.main.Main	null	logger	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/main/Main.java
es.dagaren.gladiator.notation.ExtendedPositionDescription#$@$#getPosition()#$@$#position#$@$#FIELD	es.dagaren.gladiator.notation.ExtendedPositionDescription	null	position	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/notation/ExtendedPositionDescription.java
es.dagaren.gladiator.notation.ExtendedPositionDescription#$@$#setPosition(es.dagaren.gladiator.representation.Position)#$@$#this.position#$@$#FIELD	es.dagaren.gladiator.notation.ExtendedPositionDescription	null	position	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/notation/ExtendedPositionDescription.java
es.dagaren.gladiator.notation.ExtendedPositionDescription#$@$#setPosition(es.dagaren.gladiator.representation.Position)#$@$#this#$@$#FIELD	es.dagaren.gladiator.notation.ExtendedPositionDescription	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/notation/ExtendedPositionDescription.java
es.dagaren.gladiator.notation.ExtendedPositionDescription#$@$#setPosition(es.dagaren.gladiator.representation.Position)#$@$#position#$@$#PARAMETER	es.dagaren.gladiator.notation.ExtendedPositionDescription	setPosition(es.dagaren.gladiator.representation.Position)	position	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/notation/ExtendedPositionDescription.java
es.dagaren.gladiator.notation.ExtendedPositionDescription#$@$#getOperationsMap()#$@$#operationsMap#$@$#FIELD	es.dagaren.gladiator.notation.ExtendedPositionDescription	null	operationsMap	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/notation/ExtendedPositionDescription.java
es.dagaren.gladiator.notation.ExtendedPositionDescription#$@$#setOperationsMap(java.util.Map)#$@$#this.operationsMap#$@$#FIELD	es.dagaren.gladiator.notation.ExtendedPositionDescription	null	operationsMap	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/notation/ExtendedPositionDescription.java
es.dagaren.gladiator.notation.ExtendedPositionDescription#$@$#setOperationsMap(java.util.Map)#$@$#this#$@$#FIELD	es.dagaren.gladiator.notation.ExtendedPositionDescription	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/notation/ExtendedPositionDescription.java
es.dagaren.gladiator.notation.ExtendedPositionDescription#$@$#setOperationsMap(java.util.Map)#$@$#operationsMap#$@$#PARAMETER	es.dagaren.gladiator.notation.ExtendedPositionDescription	setOperationsMap(java.util.Map)	operationsMap	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/notation/ExtendedPositionDescription.java
es.dagaren.gladiator.notation.ExtendedPositionDescription#$@$#toString()#$@$#this.position.toString#$@$#METHOD	java.lang.Object	toString()	null	null	null
es.dagaren.gladiator.notation.ExtendedPositionDescription#$@$#toString()#$@$#this.position#$@$#FIELD	es.dagaren.gladiator.notation.ExtendedPositionDescription	null	position	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/notation/ExtendedPositionDescription.java
es.dagaren.gladiator.notation.ExtendedPositionDescription#$@$#toString()#$@$#this#$@$#FIELD	es.dagaren.gladiator.notation.ExtendedPositionDescription	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/notation/ExtendedPositionDescription.java
es.dagaren.gladiator.notation.ExtendedPositionDescription#$@$#toString()#$@$#this.operationsMap.keySet#$@$#METHOD	java.util.Map	keySet()	null	null	null
es.dagaren.gladiator.notation.ExtendedPositionDescription#$@$#toString()#$@$#this.operationsMap#$@$#FIELD	es.dagaren.gladiator.notation.ExtendedPositionDescription	null	operationsMap	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/notation/ExtendedPositionDescription.java
es.dagaren.gladiator.notation.ExtendedPositionDescription#$@$#toString()#$@$#this#$@$#FIELD	es.dagaren.gladiator.notation.ExtendedPositionDescription	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/notation/ExtendedPositionDescription.java
es.dagaren.gladiator.notation.ExtendedPositionDescription#$@$#toString()#$@$#this.operationsMap.get#$@$#METHOD	java.util.Map	get(java.lang.Object)	null	null	null
es.dagaren.gladiator.notation.ExtendedPositionDescription#$@$#toString()#$@$#this.operationsMap#$@$#FIELD	es.dagaren.gladiator.notation.ExtendedPositionDescription	null	operationsMap	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/notation/ExtendedPositionDescription.java
es.dagaren.gladiator.notation.ExtendedPositionDescription#$@$#toString()#$@$#this#$@$#FIELD	es.dagaren.gladiator.notation.ExtendedPositionDescription	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/notation/ExtendedPositionDescription.java
es.dagaren.gladiator.notation.ExtendedPositionDescription#$@$#load(java.lang.String)#$@$#Pattern.compile#$@$#METHOD	java.util.regex.Pattern	compile(java.lang.String)	null	null	null
es.dagaren.gladiator.notation.ExtendedPositionDescription#$@$#load(java.lang.String)#$@$#regex.matcher#$@$#METHOD	java.util.regex.Pattern	matcher(java.lang.CharSequence)	null	null	null
es.dagaren.gladiator.notation.ExtendedPositionDescription#$@$#load(java.lang.String)#$@$#epdString#$@$#PARAMETER	es.dagaren.gladiator.notation.ExtendedPositionDescription	load(java.lang.String)	epdString	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/notation/ExtendedPositionDescription.java
es.dagaren.gladiator.notation.ExtendedPositionDescription#$@$#load(java.lang.String)#$@$#regexMatcher.find#$@$#METHOD	java.util.regex.Matcher	find()	null	null	null
es.dagaren.gladiator.notation.ExtendedPositionDescription#$@$#load(java.lang.String)#$@$#regexMatcher.group#$@$#METHOD	java.util.regex.Matcher	group(int)	null	null	null
es.dagaren.gladiator.notation.ExtendedPositionDescription#$@$#load(java.lang.String)#$@$#regexMatcher.group#$@$#METHOD	java.util.regex.Matcher	group(int)	null	null	null
es.dagaren.gladiator.notation.ExtendedPositionDescription#$@$#load(java.lang.String)#$@$#regexMatcher.group#$@$#METHOD	java.util.regex.Matcher	group(int)	null	null	null
es.dagaren.gladiator.notation.ExtendedPositionDescription#$@$#load(java.lang.String)#$@$#regexMatcher.group#$@$#METHOD	java.util.regex.Matcher	group(int)	null	null	null
es.dagaren.gladiator.notation.ExtendedPositionDescription#$@$#load(java.lang.String)#$@$#regexMatcher.group#$@$#METHOD	java.util.regex.Matcher	group(int)	null	null	null
es.dagaren.gladiator.notation.ExtendedPositionDescription#$@$#load(java.lang.String)#$@$#Pattern.compile#$@$#METHOD	java.util.regex.Pattern	compile(java.lang.String)	null	null	null
es.dagaren.gladiator.notation.ExtendedPositionDescription#$@$#load(java.lang.String)#$@$#regex.matcher#$@$#METHOD	java.util.regex.Pattern	matcher(java.lang.CharSequence)	null	null	null
es.dagaren.gladiator.notation.ExtendedPositionDescription#$@$#load(java.lang.String)#$@$#regexMatcher.find#$@$#METHOD	java.util.regex.Matcher	find()	null	null	null
es.dagaren.gladiator.notation.ExtendedPositionDescription#$@$#load(java.lang.String)#$@$#operations.add#$@$#METHOD	java.util.List	add(E)	null	null	null
es.dagaren.gladiator.notation.ExtendedPositionDescription#$@$#load(java.lang.String)#$@$#regexMatcher.group#$@$#METHOD	java.util.regex.Matcher	group()	null	null	null
es.dagaren.gladiator.notation.ExtendedPositionDescription#$@$#load(java.lang.String)#$@$#regex.matcher#$@$#METHOD	java.util.regex.Pattern	matcher(java.lang.CharSequence)	null	null	null
es.dagaren.gladiator.notation.ExtendedPositionDescription#$@$#load(java.lang.String)#$@$#regexMatcher.matches#$@$#METHOD	java.util.regex.Matcher	matches()	null	null	null
es.dagaren.gladiator.notation.ExtendedPositionDescription#$@$#load(java.lang.String)#$@$#opcodes.add#$@$#METHOD	java.util.List	add(E)	null	null	null
es.dagaren.gladiator.notation.ExtendedPositionDescription#$@$#load(java.lang.String)#$@$#regexMatcher.group#$@$#METHOD	java.util.regex.Matcher	group(int)	null	null	null
es.dagaren.gladiator.notation.ExtendedPositionDescription#$@$#load(java.lang.String)#$@$#operands.add#$@$#METHOD	java.util.List	add(E)	null	null	null
es.dagaren.gladiator.notation.ExtendedPositionDescription#$@$#load(java.lang.String)#$@$#regexMatcher.group#$@$#METHOD	java.util.regex.Matcher	group(int)	null	null	null
es.dagaren.gladiator.notation.ExtendedPositionDescription#$@$#load(java.lang.String)#$@$#opcodes.size#$@$#METHOD	java.util.List	size()	null	null	null
es.dagaren.gladiator.notation.ExtendedPositionDescription#$@$#load(java.lang.String)#$@$#operands.get#$@$#METHOD	java.util.List	get(int)	null	null	null
es.dagaren.gladiator.notation.ExtendedPositionDescription#$@$#load(java.lang.String)#$@$#Pattern.compile#$@$#METHOD	java.util.regex.Pattern	compile(java.lang.String)	null	null	null
es.dagaren.gladiator.notation.ExtendedPositionDescription#$@$#load(java.lang.String)#$@$#regex.matcher#$@$#METHOD	java.util.regex.Pattern	matcher(java.lang.CharSequence)	null	null	null
es.dagaren.gladiator.notation.ExtendedPositionDescription#$@$#load(java.lang.String)#$@$#regexMatcher.find#$@$#METHOD	java.util.regex.Matcher	find()	null	null	null
es.dagaren.gladiator.notation.ExtendedPositionDescription#$@$#load(java.lang.String)#$@$#regexMatcher.group#$@$#METHOD	java.util.regex.Matcher	group(int)	null	null	null
es.dagaren.gladiator.notation.ExtendedPositionDescription#$@$#load(java.lang.String)#$@$#operandList.add#$@$#METHOD	java.util.List	add(E)	null	null	null
es.dagaren.gladiator.notation.ExtendedPositionDescription#$@$#load(java.lang.String)#$@$#regexMatcher.group#$@$#METHOD	java.util.regex.Matcher	group(int)	null	null	null
es.dagaren.gladiator.notation.ExtendedPositionDescription#$@$#load(java.lang.String)#$@$#regexMatcher.group#$@$#METHOD	java.util.regex.Matcher	group(int)	null	null	null
es.dagaren.gladiator.notation.ExtendedPositionDescription#$@$#load(java.lang.String)#$@$#operandList.add#$@$#METHOD	java.util.List	add(E)	null	null	null
es.dagaren.gladiator.notation.ExtendedPositionDescription#$@$#load(java.lang.String)#$@$#regexMatcher.group#$@$#METHOD	java.util.regex.Matcher	group(int)	null	null	null
es.dagaren.gladiator.notation.ExtendedPositionDescription#$@$#load(java.lang.String)#$@$#operationsMap.put#$@$#METHOD	java.util.Map	put(K,V)	null	null	null
es.dagaren.gladiator.notation.ExtendedPositionDescription#$@$#load(java.lang.String)#$@$#opcodes.get#$@$#METHOD	java.util.List	get(int)	null	null	null
es.dagaren.gladiator.notation.ExtendedPositionDescription#$@$#load(java.lang.String)#$@$#operationsMap.containsKey#$@$#METHOD	java.util.Map	containsKey(java.lang.Object)	null	null	null
es.dagaren.gladiator.notation.ExtendedPositionDescription#$@$#load(java.lang.String)#$@$#operationsMap.get("hmvc").get#$@$#METHOD	java.util.List	get(int)	null	null	null
es.dagaren.gladiator.notation.ExtendedPositionDescription#$@$#load(java.lang.String)#$@$#operationsMap.get#$@$#METHOD	java.util.Map	get(java.lang.Object)	null	null	null
es.dagaren.gladiator.notation.ExtendedPositionDescription#$@$#load(java.lang.String)#$@$#operationsMap.containsKey#$@$#METHOD	java.util.Map	containsKey(java.lang.Object)	null	null	null
es.dagaren.gladiator.notation.ExtendedPositionDescription#$@$#load(java.lang.String)#$@$#operationsMap.get("hmvc").get#$@$#METHOD	java.util.List	get(int)	null	null	null
es.dagaren.gladiator.notation.ExtendedPositionDescription#$@$#load(java.lang.String)#$@$#operationsMap.get#$@$#METHOD	java.util.Map	get(java.lang.Object)	null	null	null
es.dagaren.gladiator.notation.ExtendedPositionDescription#$@$#load(java.lang.String)#$@$#position.loadFen#$@$#METHOD	es.dagaren.gladiator.representation.Position	loadFen(java.lang.String)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/representation/Position.java
es.dagaren.gladiator.notation.ExtendedPositionDescription#$@$#load(java.lang.String)#$@$#epd.setPosition#$@$#METHOD	es.dagaren.gladiator.notation.ExtendedPositionDescription	setPosition(es.dagaren.gladiator.representation.Position)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/notation/ExtendedPositionDescription.java
es.dagaren.gladiator.notation.ExtendedPositionDescription#$@$#load(java.lang.String)#$@$#epd.setOperationsMap#$@$#METHOD	es.dagaren.gladiator.notation.ExtendedPositionDescription	setOperationsMap(java.util.Map)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/notation/ExtendedPositionDescription.java
es.dagaren.gladiator.notation.ExtendedPositionDescription#$@$#load(java.lang.String)#$@$#logger.error#$@$#METHOD	org.apache.log4j.Category	error(java.lang.Object)	null	null	null
es.dagaren.gladiator.notation.ExtendedPositionDescription#$@$#load(java.lang.String)#$@$#es.dagaren.gladiator.notation.ExtendedPositionDescription.logger#$@$#FIELD	es.dagaren.gladiator.notation.ExtendedPositionDescription	null	logger	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/notation/ExtendedPositionDescription.java
es.dagaren.gladiator.notation.ExtendedPositionDescription#$@$#load(java.lang.String)#$@$#epdString#$@$#PARAMETER	es.dagaren.gladiator.notation.ExtendedPositionDescription	load(java.lang.String)	epdString	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/notation/ExtendedPositionDescription.java
es.dagaren.gladiator.representation.Colour#$@$#Colour(int,java.lang.String)#$@$#this.index#$@$#FIELD	es.dagaren.gladiator.representation.Colour	null	index	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/representation/Colour.java
es.dagaren.gladiator.representation.Colour#$@$#Colour(int,java.lang.String)#$@$#this#$@$#FIELD	es.dagaren.gladiator.representation.Colour	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/representation/Colour.java
es.dagaren.gladiator.representation.Colour#$@$#Colour(int,java.lang.String)#$@$#index#$@$#PARAMETER	es.dagaren.gladiator.representation.Colour	Colour(int,java.lang.String)	index	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/representation/Colour.java
es.dagaren.gladiator.representation.Colour#$@$#Colour(int,java.lang.String)#$@$#es.dagaren.gladiator.representation.Colour.colours#$@$#FIELD	es.dagaren.gladiator.representation.Colour	null	colours	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/representation/Colour.java
es.dagaren.gladiator.representation.Colour#$@$#Colour(int,java.lang.String)#$@$#es.dagaren.gladiator.representation.Colour.colours#$@$#FIELD	es.dagaren.gladiator.representation.Colour	null	colours	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/representation/Colour.java
es.dagaren.gladiator.representation.Colour#$@$#Colour(int,java.lang.String)#$@$#es.dagaren.gladiator.representation.Colour.coloursNames#$@$#FIELD	es.dagaren.gladiator.representation.Colour	null	coloursNames	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/representation/Colour.java
es.dagaren.gladiator.representation.Colour#$@$#Colour(int,java.lang.String)#$@$#es.dagaren.gladiator.representation.Colour.coloursMap#$@$#FIELD	es.dagaren.gladiator.representation.Colour	null	coloursMap	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/representation/Colour.java
es.dagaren.gladiator.representation.Colour#$@$#Colour(int,java.lang.String)#$@$#es.dagaren.gladiator.representation.Colour.colours#$@$#FIELD	es.dagaren.gladiator.representation.Colour	null	colours	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/representation/Colour.java
es.dagaren.gladiator.representation.Colour#$@$#Colour(int,java.lang.String)#$@$#index#$@$#PARAMETER	es.dagaren.gladiator.representation.Colour	Colour(int,java.lang.String)	index	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/representation/Colour.java
es.dagaren.gladiator.representation.Colour#$@$#Colour(int,java.lang.String)#$@$#this#$@$#FIELD	es.dagaren.gladiator.representation.Colour	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/representation/Colour.java
