enc_class	enc_method	exp	kind	class	method	param	index	uri
com.strategy.api.interpreter.InterpreterManager#$@$#scheduleInterpreter(java.lang.Thread)#$@$#scheduler.scheduleWithFixedDelay#$@$#METHOD	java.util.concurrent.ScheduledExecutorService	scheduleWithFixedDelay(java.lang.Runnable,long,long,java.util.concurrent.TimeUnit)	null	null	null
com.strategy.api.interpreter.GtpInterpreter#$@$#readHgfIndex(java.lang.String,com.strategy.api.board.Board)#$@$#line#$@$#PARAMETER	com.strategy.api.interpreter.GtpInterpreter	readHgfIndex(java.lang.String,com.strategy.api.board.Board)	line	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/interpreter/GtpInterpreter.java
com.strategy.api.interpreter.GtpInterpreter#$@$#readHgfIndex(java.lang.String,com.strategy.api.board.Board)#$@$#Integer.parseInt#$@$#METHOD	java.lang.Integer	parseInt(java.lang.String)	null	null	null
com.strategy.api.interpreter.GtpInterpreter#$@$#readHgfIndex(java.lang.String,com.strategy.api.board.Board)#$@$#line.substring#$@$#METHOD	java.lang.String	substring(int)	null	null	null
com.strategy.api.interpreter.GtpInterpreter#$@$#readHgfIndex(java.lang.String,com.strategy.api.board.Board)#$@$#line#$@$#PARAMETER	com.strategy.api.interpreter.GtpInterpreter	readHgfIndex(java.lang.String,com.strategy.api.board.Board)	line	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/interpreter/GtpInterpreter.java
com.strategy.api.interpreter.GtpInterpreter#$@$#readHgfIndex(java.lang.String,com.strategy.api.board.Board)#$@$#board.getField#$@$#METHOD	com.strategy.api.board.Board	getField(com.strategy.util.RowConstant,java.lang.Integer)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/board/Board.java
com.strategy.api.interpreter.GtpInterpreter#$@$#readHgfIndex(java.lang.String,com.strategy.api.board.Board)#$@$#board#$@$#PARAMETER	com.strategy.api.interpreter.GtpInterpreter	readHgfIndex(java.lang.String,com.strategy.api.board.Board)	board	1	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/interpreter/GtpInterpreter.java
com.strategy.api.interpreter.GtpInterpreter#$@$#readHgfIndex(java.lang.String,com.strategy.api.board.Board)#$@$#field.getIndex#$@$#METHOD	com.strategy.api.field.Field	getIndex()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/field/Field.java
com.strategy.api.interpreter.GtpInterpreter#$@$#win(com.strategy.util.StoneColor)#$@$#out.println#$@$#METHOD	java.io.PrintStream	println(java.lang.String)	null	null	null
com.strategy.api.interpreter.GtpInterpreter#$@$#win(com.strategy.util.StoneColor)#$@$#com.strategy.api.interpreter.GtpInterpreter.out#$@$#FIELD	com.strategy.api.interpreter.GtpInterpreter	null	out	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/interpreter/GtpInterpreter.java
com.strategy.api.interpreter.GtpInterpreter#$@$#win(com.strategy.util.StoneColor)#$@$#color#$@$#PARAMETER	com.strategy.api.interpreter.GtpInterpreter	win(com.strategy.util.StoneColor)	color	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/interpreter/GtpInterpreter.java
com.strategy.api.interpreter.GtpInterpreter#$@$#win(com.strategy.util.StoneColor)#$@$#exit#$@$#METHOD	com.strategy.api.interpreter.GtpInterpreter	exit()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/interpreter/GtpInterpreter.java
com.strategy.api.interpreter.GtpInterpreter#$@$#exit()#$@$#out.println#$@$#METHOD	java.io.PrintStream	println(java.lang.String)	null	null	null
com.strategy.api.interpreter.GtpInterpreter#$@$#exit()#$@$#com.strategy.api.interpreter.GtpInterpreter.out#$@$#FIELD	com.strategy.api.interpreter.GtpInterpreter	null	out	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/interpreter/GtpInterpreter.java
com.strategy.api.interpreter.GtpInterpreter#$@$#exit()#$@$#interrupt#$@$#METHOD	java.lang.Thread	interrupt()	null	null	null
com.strategy.api.interpreter.GtpInterpreter#$@$#exit()#$@$#scanner.close#$@$#METHOD	java.util.Scanner	close()	null	null	null
com.strategy.api.interpreter.GtpInterpreter#$@$#exit()#$@$#scanner#$@$#FIELD	com.strategy.api.interpreter.GtpInterpreter	null	scanner	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/interpreter/GtpInterpreter.java
com.strategy.api.interpreter.GtpInterpreter#$@$#exit()#$@$#InterpreterManager.exit#$@$#METHOD	com.strategy.api.interpreter.InterpreterManager	exit()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/interpreter/InterpreterManager.java
com.strategy.api.interpreter.GtpInterpreter#$@$#printCpuTurn(int,int,com.strategy.util.StoneColor)#$@$#RowConstant.parse#$@$#METHOD	com.strategy.util.RowConstant	parse(int,int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/util/RowConstant.java
com.strategy.api.interpreter.GtpInterpreter#$@$#printCpuTurn(int,int,com.strategy.util.StoneColor)#$@$#turnIndex#$@$#PARAMETER	com.strategy.api.interpreter.GtpInterpreter	printCpuTurn(int,int,com.strategy.util.StoneColor)	turnIndex	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/interpreter/GtpInterpreter.java
com.strategy.api.interpreter.GtpInterpreter#$@$#printCpuTurn(int,int,com.strategy.util.StoneColor)#$@$#boardSize#$@$#PARAMETER	com.strategy.api.interpreter.GtpInterpreter	printCpuTurn(int,int,com.strategy.util.StoneColor)	boardSize	1	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/interpreter/GtpInterpreter.java
com.strategy.api.interpreter.GtpInterpreter#$@$#printCpuTurn(int,int,com.strategy.util.StoneColor)#$@$#RowConstant.parseToCoordNumber#$@$#METHOD	com.strategy.util.RowConstant	parseToCoordNumber(int,int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/util/RowConstant.java
com.strategy.api.interpreter.GtpInterpreter#$@$#printCpuTurn(int,int,com.strategy.util.StoneColor)#$@$#turnIndex#$@$#PARAMETER	com.strategy.api.interpreter.GtpInterpreter	printCpuTurn(int,int,com.strategy.util.StoneColor)	turnIndex	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/interpreter/GtpInterpreter.java
com.strategy.api.interpreter.GtpInterpreter#$@$#printCpuTurn(int,int,com.strategy.util.StoneColor)#$@$#boardSize#$@$#PARAMETER	com.strategy.api.interpreter.GtpInterpreter	printCpuTurn(int,int,com.strategy.util.StoneColor)	boardSize	1	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/interpreter/GtpInterpreter.java
com.strategy.api.interpreter.GtpInterpreter#$@$#printCpuTurn(int,int,com.strategy.util.StoneColor)#$@$#out.println#$@$#METHOD	java.io.PrintStream	println(java.lang.String)	null	null	null
com.strategy.api.interpreter.GtpInterpreter#$@$#printCpuTurn(int,int,com.strategy.util.StoneColor)#$@$#com.strategy.api.interpreter.GtpInterpreter.out#$@$#FIELD	com.strategy.api.interpreter.GtpInterpreter	null	out	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/interpreter/GtpInterpreter.java
com.strategy.api.interpreter.GtpInterpreter#$@$#printCpuTurn(int,int,com.strategy.util.StoneColor)#$@$#cpuColor#$@$#PARAMETER	com.strategy.api.interpreter.GtpInterpreter	printCpuTurn(int,int,com.strategy.util.StoneColor)	cpuColor	2	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/interpreter/GtpInterpreter.java
com.strategy.api.interpreter.GtpInterpreter#$@$#printCpuTurn(int,int,com.strategy.util.StoneColor)#$@$#turnIndex#$@$#PARAMETER	com.strategy.api.interpreter.GtpInterpreter	printCpuTurn(int,int,com.strategy.util.StoneColor)	turnIndex	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/interpreter/GtpInterpreter.java
com.strategy.api.interpreter.GtpInterpreter#$@$#printInputError()#$@$#out.println#$@$#METHOD	java.io.PrintStream	println(java.lang.String)	null	null	null
com.strategy.api.interpreter.GtpInterpreter#$@$#printInputError()#$@$#com.strategy.api.interpreter.GtpInterpreter.out#$@$#FIELD	com.strategy.api.interpreter.GtpInterpreter	null	out	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/interpreter/GtpInterpreter.java
com.strategy.api.interpreter.GtpInterpreter#$@$#printFieldError()#$@$#out.println#$@$#METHOD	java.io.PrintStream	println(java.lang.String)	null	null	null
com.strategy.api.interpreter.GtpInterpreter#$@$#printFieldError()#$@$#com.strategy.api.interpreter.GtpInterpreter.out#$@$#FIELD	com.strategy.api.interpreter.GtpInterpreter	null	out	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/interpreter/GtpInterpreter.java
com.strategy.api.interpreter.GtpInterpreter#$@$#pringEvaluation(com.strategy.api.logic.evaluation.Evaluation)#$@$#out.println#$@$#METHOD	java.io.PrintStream	println(java.lang.String)	null	null	null
com.strategy.api.interpreter.GtpInterpreter#$@$#pringEvaluation(com.strategy.api.logic.evaluation.Evaluation)#$@$#com.strategy.api.interpreter.GtpInterpreter.out#$@$#FIELD	com.strategy.api.interpreter.GtpInterpreter	null	out	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/interpreter/GtpInterpreter.java
com.strategy.api.interpreter.GtpInterpreter#$@$#pringEvaluation(com.strategy.api.logic.evaluation.Evaluation)#$@$#board.toRatingString#$@$#METHOD	com.strategy.api.board.Board	toRatingString(double[],int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/board/Board.java
com.strategy.api.interpreter.GtpInterpreter#$@$#pringEvaluation(com.strategy.api.logic.evaluation.Evaluation)#$@$#board#$@$#FIELD	com.strategy.api.interpreter.GtpInterpreter	null	board	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/interpreter/GtpInterpreter.java
com.strategy.api.interpreter.GtpInterpreter#$@$#pringEvaluation(com.strategy.api.logic.evaluation.Evaluation)#$@$#eval.getRating#$@$#METHOD	com.strategy.api.logic.evaluation.Evaluation	getRating()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/logic/evaluation/Evaluation.java
com.strategy.api.interpreter.GtpInterpreter#$@$#pringEvaluation(com.strategy.api.logic.evaluation.Evaluation)#$@$#eval#$@$#PARAMETER	com.strategy.api.interpreter.GtpInterpreter	pringEvaluation(com.strategy.api.logic.evaluation.Evaluation)	eval	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/interpreter/GtpInterpreter.java
com.strategy.api.interpreter.GtpInterpreter#$@$#pringEvaluation(com.strategy.api.logic.evaluation.Evaluation)#$@$#eval.getBestIndex#$@$#METHOD	com.strategy.api.logic.evaluation.Evaluation	getBestIndex()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/logic/evaluation/Evaluation.java
com.strategy.api.interpreter.GtpInterpreter#$@$#pringEvaluation(com.strategy.api.logic.evaluation.Evaluation)#$@$#eval#$@$#PARAMETER	com.strategy.api.interpreter.GtpInterpreter	pringEvaluation(com.strategy.api.logic.evaluation.Evaluation)	eval	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/interpreter/GtpInterpreter.java
com.strategy.util.StoneColor#$@$#StoneColor(int)#$@$#this.primitive#$@$#FIELD	com.strategy.util.StoneColor	null	primitive	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/util/StoneColor.java
com.strategy.util.StoneColor#$@$#StoneColor(int)#$@$#this#$@$#FIELD	com.strategy.util.StoneColor	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/util/StoneColor.java
com.strategy.util.StoneColor#$@$#StoneColor(int)#$@$#primitive#$@$#PARAMETER	com.strategy.util.StoneColor	StoneColor(int)	primitive	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/util/StoneColor.java
com.strategy.util.StoneColor#$@$#getPrimitive()#$@$#primitive#$@$#FIELD	com.strategy.util.StoneColor	null	primitive	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/util/StoneColor.java
com.strategy.util.StoneColor#$@$#parse(int)#$@$#values#$@$#METHOD	com.strategy.util.StoneColor	values()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/util/StoneColor.java
com.strategy.util.StoneColor#$@$#parse(int)#$@$#color.getPrimitive#$@$#METHOD	com.strategy.util.StoneColor	getPrimitive()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/util/StoneColor.java
com.strategy.util.StoneColor#$@$#parse(int)#$@$#primitive#$@$#PARAMETER	com.strategy.util.StoneColor	parse(int)	primitive	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/util/StoneColor.java
com.strategy.util.StoneColor#$@$#parse(java.lang.String)#$@$#values#$@$#METHOD	com.strategy.util.StoneColor	values()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/util/StoneColor.java
com.strategy.util.StoneColor#$@$#parse(java.lang.String)#$@$#color.name().equalsIgnoreCase#$@$#METHOD	java.lang.String	equalsIgnoreCase(java.lang.String)	null	null	null
com.strategy.util.StoneColor#$@$#parse(java.lang.String)#$@$#color.name#$@$#METHOD	java.lang.Enum	name()	null	null	null
com.strategy.util.StoneColor#$@$#parse(java.lang.String)#$@$#colorStr#$@$#PARAMETER	com.strategy.util.StoneColor	parse(java.lang.String)	colorStr	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/util/StoneColor.java
com.strategy.util.StoneColor#$@$#getOpposite()#$@$#this#$@$#FIELD	com.strategy.util.StoneColor	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/util/StoneColor.java
com.strategy.util.Turn#$@$#Turn(com.strategy.util.RowConstant,int,com.strategy.util.StoneColor)#$@$#color#$@$#PARAMETER	com.strategy.util.Turn	Turn(com.strategy.util.RowConstant,int,com.strategy.util.StoneColor)	color	2	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/util/Turn.java
com.strategy.util.Turn#$@$#Turn(com.strategy.util.RowConstant,int,com.strategy.util.StoneColor)#$@$#StoneColor.EMPTY.equals#$@$#METHOD	java.lang.Enum	equals(java.lang.Object)	null	null	null
com.strategy.util.Turn#$@$#Turn(com.strategy.util.RowConstant,int,com.strategy.util.StoneColor)#$@$#color#$@$#PARAMETER	com.strategy.util.Turn	Turn(com.strategy.util.RowConstant,int,com.strategy.util.StoneColor)	color	2	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/util/Turn.java
com.strategy.util.Turn#$@$#Turn(com.strategy.util.RowConstant,int,com.strategy.util.StoneColor)#$@$#this.coord#$@$#FIELD	com.strategy.util.Turn	null	coord	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/util/Turn.java
com.strategy.util.Turn#$@$#Turn(com.strategy.util.RowConstant,int,com.strategy.util.StoneColor)#$@$#this#$@$#FIELD	com.strategy.util.Turn	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/util/Turn.java
com.strategy.util.Turn#$@$#Turn(com.strategy.util.RowConstant,int,com.strategy.util.StoneColor)#$@$#coord#$@$#PARAMETER	com.strategy.util.Turn	Turn(com.strategy.util.RowConstant,int,com.strategy.util.StoneColor)	coord	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/util/Turn.java
com.strategy.util.Turn#$@$#Turn(com.strategy.util.RowConstant,int,com.strategy.util.StoneColor)#$@$#this.coordNumber#$@$#FIELD	com.strategy.util.Turn	null	coordNumber	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/util/Turn.java
com.strategy.util.Turn#$@$#Turn(com.strategy.util.RowConstant,int,com.strategy.util.StoneColor)#$@$#this#$@$#FIELD	com.strategy.util.Turn	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/util/Turn.java
com.strategy.util.Turn#$@$#Turn(com.strategy.util.RowConstant,int,com.strategy.util.StoneColor)#$@$#coordNumber#$@$#PARAMETER	com.strategy.util.Turn	Turn(com.strategy.util.RowConstant,int,com.strategy.util.StoneColor)	coordNumber	1	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/util/Turn.java
