enc_class	enc_method	exp	kind	class	method	param	index	uri
net.katsuster.ememu.ui.Main#$@$#usage(java.lang.String[])#$@$#System.out.println#$@$#METHOD	java.io.PrintStream	println(java.lang.String)	null	null	null
net.katsuster.ememu.ui.LinuxOption#$@$#LinuxOption()#$@$#dtb#$@$#FIELD	net.katsuster.ememu.ui.LinuxOption	null	dtb	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/ui/LinuxOption.java
net.katsuster.ememu.ui.LinuxOption#$@$#LinuxOption()#$@$#kimage#$@$#FIELD	net.katsuster.ememu.ui.LinuxOption	null	kimage	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/ui/LinuxOption.java
net.katsuster.ememu.ui.LinuxOption#$@$#LinuxOption()#$@$#initrd#$@$#FIELD	net.katsuster.ememu.ui.LinuxOption	null	initrd	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/ui/LinuxOption.java
net.katsuster.ememu.ui.LinuxOption#$@$#LinuxOption()#$@$#cmdline#$@$#FIELD	net.katsuster.ememu.ui.LinuxOption	null	cmdline	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/ui/LinuxOption.java
net.katsuster.ememu.ui.LinuxOption#$@$#getDeviceTreeImage()#$@$#dtb#$@$#FIELD	net.katsuster.ememu.ui.LinuxOption	null	dtb	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/ui/LinuxOption.java
net.katsuster.ememu.ui.LinuxOption#$@$#setDeviceTreeImage(java.io.File)#$@$#dtb#$@$#FIELD	net.katsuster.ememu.ui.LinuxOption	null	dtb	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/ui/LinuxOption.java
net.katsuster.ememu.ui.LinuxOption#$@$#setDeviceTreeImage(java.io.File)#$@$#file.toURI#$@$#METHOD	java.io.File	toURI()	null	null	null
net.katsuster.ememu.ui.LinuxOption#$@$#setDeviceTreeImage(java.io.File)#$@$#file#$@$#PARAMETER	net.katsuster.ememu.ui.LinuxOption	setDeviceTreeImage(java.io.File)	file	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/ui/LinuxOption.java
net.katsuster.ememu.ui.LinuxOption#$@$#setDeviceTreeImage(java.net.URI)#$@$#dtb#$@$#FIELD	net.katsuster.ememu.ui.LinuxOption	null	dtb	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/ui/LinuxOption.java
net.katsuster.ememu.ui.LinuxOption#$@$#setDeviceTreeImage(java.net.URI)#$@$#uri#$@$#PARAMETER	net.katsuster.ememu.ui.LinuxOption	setDeviceTreeImage(java.net.URI)	uri	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/ui/LinuxOption.java
net.katsuster.ememu.ui.LinuxOption#$@$#getKernelImage()#$@$#kimage#$@$#FIELD	net.katsuster.ememu.ui.LinuxOption	null	kimage	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/ui/LinuxOption.java
net.katsuster.ememu.ui.LinuxOption#$@$#setKernelImage(java.io.File)#$@$#kimage#$@$#FIELD	net.katsuster.ememu.ui.LinuxOption	null	kimage	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/ui/LinuxOption.java
net.katsuster.ememu.ui.LinuxOption#$@$#setKernelImage(java.io.File)#$@$#file.toURI#$@$#METHOD	java.io.File	toURI()	null	null	null
net.katsuster.ememu.ui.LinuxOption#$@$#setKernelImage(java.io.File)#$@$#file#$@$#PARAMETER	net.katsuster.ememu.ui.LinuxOption	setKernelImage(java.io.File)	file	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/ui/LinuxOption.java
net.katsuster.ememu.ui.LinuxOption#$@$#setKernelImage(java.net.URI)#$@$#kimage#$@$#FIELD	net.katsuster.ememu.ui.LinuxOption	null	kimage	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/ui/LinuxOption.java
net.katsuster.ememu.ui.LinuxOption#$@$#setKernelImage(java.net.URI)#$@$#uri#$@$#PARAMETER	net.katsuster.ememu.ui.LinuxOption	setKernelImage(java.net.URI)	uri	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/ui/LinuxOption.java
net.katsuster.ememu.ui.LinuxOption#$@$#getInitrdImage()#$@$#initrd#$@$#FIELD	net.katsuster.ememu.ui.LinuxOption	null	initrd	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/ui/LinuxOption.java
net.katsuster.ememu.ui.LinuxOption#$@$#setInitrdImage(java.io.File)#$@$#initrd#$@$#FIELD	net.katsuster.ememu.ui.LinuxOption	null	initrd	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/ui/LinuxOption.java
net.katsuster.ememu.ui.LinuxOption#$@$#setInitrdImage(java.io.File)#$@$#file.toURI#$@$#METHOD	java.io.File	toURI()	null	null	null
net.katsuster.ememu.ui.LinuxOption#$@$#setInitrdImage(java.io.File)#$@$#file#$@$#PARAMETER	net.katsuster.ememu.ui.LinuxOption	setInitrdImage(java.io.File)	file	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/ui/LinuxOption.java
net.katsuster.ememu.ui.LinuxOption#$@$#setInitrdImage(java.net.URI)#$@$#initrd#$@$#FIELD	net.katsuster.ememu.ui.LinuxOption	null	initrd	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/ui/LinuxOption.java
net.katsuster.ememu.ui.LinuxOption#$@$#setInitrdImage(java.net.URI)#$@$#uri#$@$#PARAMETER	net.katsuster.ememu.ui.LinuxOption	setInitrdImage(java.net.URI)	uri	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/ui/LinuxOption.java
net.katsuster.ememu.ui.LinuxOption#$@$#getCommandLine()#$@$#cmdline#$@$#FIELD	net.katsuster.ememu.ui.LinuxOption	null	cmdline	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/ui/LinuxOption.java
net.katsuster.ememu.ui.LinuxOption#$@$#setCommandLine(java.lang.String)#$@$#cmdline#$@$#FIELD	net.katsuster.ememu.ui.LinuxOption	null	cmdline	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/ui/LinuxOption.java
net.katsuster.ememu.ui.LinuxOption#$@$#setCommandLine(java.lang.String)#$@$#str#$@$#PARAMETER	net.katsuster.ememu.ui.LinuxOption	setCommandLine(java.lang.String)	str	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/ui/LinuxOption.java
net.katsuster.ememu.ui.LinuxOption#$@$#toString()#$@$#String.format#$@$#METHOD	java.lang.String	format(java.lang.String,java.lang.Object[])	null	null	null
net.katsuster.ememu.ui.LinuxOption#$@$#toString()#$@$#getClass().getSimpleName#$@$#METHOD	java.lang.Class	getSimpleName()	null	null	null
net.katsuster.ememu.ui.LinuxOption#$@$#toString()#$@$#getClass#$@$#METHOD	java.lang.Object	getClass()	null	null	null
net.katsuster.ememu.ui.LinuxOption#$@$#toString()#$@$#getKernelImage().toString#$@$#METHOD	java.net.URI	toString()	null	null	null
net.katsuster.ememu.ui.LinuxOption#$@$#toString()#$@$#getKernelImage#$@$#METHOD	net.katsuster.ememu.ui.LinuxOption	getKernelImage()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/ui/LinuxOption.java
net.katsuster.ememu.ui.LinuxOption#$@$#toString()#$@$#getInitrdImage().toString#$@$#METHOD	java.net.URI	toString()	null	null	null
net.katsuster.ememu.ui.LinuxOption#$@$#toString()#$@$#getInitrdImage#$@$#METHOD	net.katsuster.ememu.ui.LinuxOption	getInitrdImage()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/ui/LinuxOption.java
net.katsuster.ememu.ui.LinuxOption#$@$#toString()#$@$#getCommandLine#$@$#METHOD	net.katsuster.ememu.ui.LinuxOption	getCommandLine()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/ui/LinuxOption.java
net.katsuster.ememu.ui.ProxyOptionPanel#$@$#ProxyOptionPanel(net.katsuster.ememu.ui.ProxyOption)#$@$#opts#$@$#FIELD	net.katsuster.ememu.ui.ProxyOptionPanel	null	opts	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/ui/ProxyOptionPanel.java
net.katsuster.ememu.ui.ProxyOptionPanel#$@$#ProxyOptionPanel(net.katsuster.ememu.ui.ProxyOption)#$@$#options#$@$#PARAMETER	net.katsuster.ememu.ui.ProxyOptionPanel	ProxyOptionPanel(net.katsuster.ememu.ui.ProxyOption)	options	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/ui/ProxyOptionPanel.java
net.katsuster.ememu.ui.ProxyOptionPanel#$@$#ProxyOptionPanel(net.katsuster.ememu.ui.ProxyOption)#$@$#chkSet#$@$#FIELD	net.katsuster.ememu.ui.ProxyOptionPanel	null	chkSet	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/ui/ProxyOptionPanel.java
net.katsuster.ememu.ui.ProxyOptionPanel#$@$#ProxyOptionPanel(net.katsuster.ememu.ui.ProxyOption)#$@$#opts.getProxyHost().toString().equals#$@$#METHOD	java.lang.String	equals(java.lang.Object)	null	null	null
net.katsuster.ememu.ui.ProxyOptionPanel#$@$#ProxyOptionPanel(net.katsuster.ememu.ui.ProxyOption)#$@$#opts.getProxyHost().toString#$@$#METHOD	java.net.URI	toString()	null	null	null
net.katsuster.ememu.ui.ProxyOptionPanel#$@$#ProxyOptionPanel(net.katsuster.ememu.ui.ProxyOption)#$@$#opts.getProxyHost#$@$#METHOD	net.katsuster.ememu.ui.ProxyOption	getProxyHost()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/ui/ProxyOption.java
net.katsuster.ememu.ui.ProxyOptionPanel#$@$#ProxyOptionPanel(net.katsuster.ememu.ui.ProxyOption)#$@$#opts#$@$#FIELD	net.katsuster.ememu.ui.ProxyOptionPanel	null	opts	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/ui/ProxyOptionPanel.java
net.katsuster.ememu.ui.ProxyOptionPanel#$@$#ProxyOptionPanel(net.katsuster.ememu.ui.ProxyOption)#$@$#chkSet.setSelected#$@$#METHOD	javax.swing.AbstractButton	setSelected(boolean)	null	null	null
net.katsuster.ememu.ui.ProxyOptionPanel#$@$#ProxyOptionPanel(net.katsuster.ememu.ui.ProxyOption)#$@$#chkSet#$@$#FIELD	net.katsuster.ememu.ui.ProxyOptionPanel	null	chkSet	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/ui/ProxyOptionPanel.java
net.katsuster.ememu.ui.ProxyOptionPanel#$@$#ProxyOptionPanel(net.katsuster.ememu.ui.ProxyOption)#$@$#chkSet.setSelected#$@$#METHOD	javax.swing.AbstractButton	setSelected(boolean)	null	null	null
net.katsuster.ememu.ui.ProxyOptionPanel#$@$#ProxyOptionPanel(net.katsuster.ememu.ui.ProxyOption)#$@$#chkSet#$@$#FIELD	net.katsuster.ememu.ui.ProxyOptionPanel	null	chkSet	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/ui/ProxyOptionPanel.java
net.katsuster.ememu.ui.ProxyOptionPanel#$@$#ProxyOptionPanel(net.katsuster.ememu.ui.ProxyOption)#$@$#txtHost#$@$#FIELD	net.katsuster.ememu.ui.ProxyOptionPanel	null	txtHost	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/ui/ProxyOptionPanel.java
net.katsuster.ememu.ui.ProxyOptionPanel#$@$#ProxyOptionPanel(net.katsuster.ememu.ui.ProxyOption)#$@$#opts.getProxyHost().toString#$@$#METHOD	java.net.URI	toString()	null	null	null
