enc_class	enc_method	exp	kind	class	method	param	index	uri
Main#$@$#main(java.lang.String[])#$@$#System.out.println#$@$#METHOD	java.io.PrintStream	println(java.lang.String)	null	null	null
backend.Memory#$@$#get(int)#$@$#address#$@$#PARAMETER	backend.Memory	get(int)	address	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/Memory.java
backend.Memory#$@$#get(int)#$@$#FrontEnd.appendToPane#$@$#METHOD	frontend.FrontEnd	appendToPane(javax.swing.JTextPane,java.lang.String,java.awt.Color)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.Memory#$@$#get(int)#$@$#frontend.FrontEnd.statuswindow#$@$#FIELD	frontend.FrontEnd	null	statuswindow	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.Memory#$@$#get(int)#$@$#backend.ScanFile.current_line#$@$#FIELD	backend.ScanFile	null	current_line	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/ScanFile.java
backend.Memory#$@$#get(int)#$@$#java.awt.Color.RED#$@$#FIELD	java.awt.Color	null	RED	null	null
backend.Memory#$@$#get(int)#$@$#frontend.FrontEnd.exceptionraised#$@$#FIELD	frontend.FrontEnd	null	exceptionraised	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.Memory#$@$#getsize()#$@$#memory.size#$@$#METHOD	java.util.HashMap	size()	null	null	null
backend.Memory#$@$#getsize()#$@$#backend.Memory.memory#$@$#FIELD	backend.Memory	null	memory	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/Memory.java
backend.Memory#$@$#put(int,int)#$@$#memory.put#$@$#METHOD	java.util.HashMap	put(K,V)	null	null	null
backend.Memory#$@$#put(int,int)#$@$#backend.Memory.memory#$@$#FIELD	backend.Memory	null	memory	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/Memory.java
backend.Memory#$@$#put(int,int)#$@$#address#$@$#PARAMETER	backend.Memory	put(int,int)	address	1	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/Memory.java
backend.Memory#$@$#put(int,int)#$@$#b#$@$#PARAMETER	backend.Memory	put(int,int)	b	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/Memory.java
backend.Memory#$@$#put(int,int)#$@$#backend.Memory.n#$@$#FIELD	backend.Memory	null	n	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/Memory.java
backend.Memory#$@$#put(int,int)#$@$#memory.size#$@$#METHOD	java.util.HashMap	size()	null	null	null
backend.Memory#$@$#put(int,int)#$@$#backend.Memory.memory#$@$#FIELD	backend.Memory	null	memory	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/Memory.java
backend.Memory#$@$#display(int)#$@$#backend.Memory.n#$@$#FIELD	backend.Memory	null	n	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/Memory.java
backend.Memory#$@$#display(int)#$@$#backend.Memory.disp_mem#$@$#FIELD	backend.Memory	null	disp_mem	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/Memory.java
backend.Memory#$@$#display(int)#$@$#backend.Memory.n#$@$#FIELD	backend.Memory	null	n	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/Memory.java
backend.Memory#$@$#display(int)#$@$#memory.keySet#$@$#METHOD	java.util.HashMap	keySet()	null	null	null
backend.Memory#$@$#display(int)#$@$#backend.Memory.memory#$@$#FIELD	backend.Memory	null	memory	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/Memory.java
backend.Memory#$@$#display(int)#$@$#keySet.toArray#$@$#METHOD	java.util.Set	toArray()	null	null	null
backend.Memory#$@$#display(int)#$@$#memory.values#$@$#METHOD	java.util.HashMap	values()	null	null	null
backend.Memory#$@$#display(int)#$@$#backend.Memory.memory#$@$#FIELD	backend.Memory	null	memory	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/Memory.java
backend.Memory#$@$#display(int)#$@$#values.toArray#$@$#METHOD	java.util.AbstractCollection	toArray()	null	null	null
backend.Memory#$@$#display(int)#$@$#ch#$@$#PARAMETER	backend.Memory	display(int)	ch	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/Memory.java
backend.Memory#$@$#display(int)#$@$#backend.Memory.n#$@$#FIELD	backend.Memory	null	n	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/Memory.java
backend.Memory#$@$#display(int)#$@$#backend.Memory.disp_mem#$@$#FIELD	backend.Memory	null	disp_mem	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/Memory.java
backend.Memory#$@$#display(int)#$@$#backend.Memory.disp_mem#$@$#FIELD	backend.Memory	null	disp_mem	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/Memory.java
backend.Memory#$@$#display(int)#$@$#ch#$@$#PARAMETER	backend.Memory	display(int)	ch	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/Memory.java
backend.Memory#$@$#display(int)#$@$#backend.Memory.n#$@$#FIELD	backend.Memory	null	n	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/Memory.java
backend.Memory#$@$#display(int)#$@$#backend.Memory.disp_mem#$@$#FIELD	backend.Memory	null	disp_mem	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/Memory.java
backend.Memory#$@$#display(int)#$@$#backend.Memory.disp_mem#$@$#FIELD	backend.Memory	null	disp_mem	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/Memory.java
backend.Memory#$@$#display(int)#$@$#Integer.toBinaryString#$@$#METHOD	java.lang.Integer	toBinaryString(int)	null	null	null
backend.Memory#$@$#display(int)#$@$#ch#$@$#PARAMETER	backend.Memory	display(int)	ch	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/Memory.java
backend.Memory#$@$#display(int)#$@$#backend.Memory.n#$@$#FIELD	backend.Memory	null	n	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/Memory.java
backend.Memory#$@$#display(int)#$@$#backend.Memory.disp_mem#$@$#FIELD	backend.Memory	null	disp_mem	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/Memory.java
backend.Memory#$@$#display(int)#$@$#backend.Memory.disp_mem#$@$#FIELD	backend.Memory	null	disp_mem	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/Memory.java
backend.Memory#$@$#display(int)#$@$#Integer.toHexString#$@$#METHOD	java.lang.Integer	toHexString(int)	null	null	null
backend.Memory#$@$#display(int)#$@$#ch#$@$#PARAMETER	backend.Memory	display(int)	ch	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/Memory.java
backend.Memory#$@$#display(int)#$@$#backend.Memory.n#$@$#FIELD	backend.Memory	null	n	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/Memory.java
backend.Memory#$@$#display(int)#$@$#backend.Memory.disp_mem#$@$#FIELD	backend.Memory	null	disp_mem	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/Memory.java
backend.Memory#$@$#display(int)#$@$#backend.Memory.disp_mem#$@$#FIELD	backend.Memory	null	disp_mem	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/Memory.java
backend.Memory#$@$#display(int)#$@$#Integer.toOctalString#$@$#METHOD	java.lang.Integer	toOctalString(int)	null	null	null
backend.Memory#$@$#display(int)#$@$#backend.Memory.disp_mem#$@$#FIELD	backend.Memory	null	disp_mem	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/Memory.java
backend.step_out#$@$#step_out(java.io.File,int,int,int)#$@$#t#$@$#FIELD	backend.step_out	null	t	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/step_out.java
backend.step_out#$@$#step_out(java.io.File,int,int,int)#$@$#this#$@$#FIELD	backend.step_out	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/step_out.java
backend.step_out#$@$#step_out(java.io.File,int,int,int)#$@$#fpath#$@$#FIELD	backend.step_out	null	fpath	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/step_out.java
backend.step_out#$@$#step_out(java.io.File,int,int,int)#$@$#path#$@$#PARAMETER	backend.step_out	step_out(java.io.File,int,int,int)	path	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/step_out.java
backend.step_out#$@$#step_out(java.io.File,int,int,int)#$@$#exitCondition#$@$#FIELD	backend.step_out	null	exitCondition	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/step_out.java
backend.step_out#$@$#step_out(java.io.File,int,int,int)#$@$#backend.ScanFile.call_count#$@$#FIELD	backend.ScanFile	null	call_count	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/ScanFile.java
backend.step_out#$@$#step_out(java.io.File,int,int,int)#$@$#f#$@$#PARAMETER	backend.step_out	step_out(java.io.File,int,int,int)	f	3	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/step_out.java
backend.step_out#$@$#step_out(java.io.File,int,int,int)#$@$#ini#$@$#PARAMETER	backend.step_out	step_out(java.io.File,int,int,int)	ini	1	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/step_out.java
backend.step_out#$@$#step_out(java.io.File,int,int,int)#$@$#backend.StepRun.ini_line#$@$#FIELD	backend.StepRun	null	ini_line	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/StepRun.java
backend.step_out#$@$#step_out(java.io.File,int,int,int)#$@$#ini#$@$#PARAMETER	backend.step_out	step_out(java.io.File,int,int,int)	ini	1	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/step_out.java
backend.step_out#$@$#step_out(java.io.File,int,int,int)#$@$#backend.StepRun.fin_line#$@$#FIELD	backend.StepRun	null	fin_line	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/StepRun.java
backend.step_out#$@$#step_out(java.io.File,int,int,int)#$@$#fin#$@$#PARAMETER	backend.step_out	step_out(java.io.File,int,int,int)	fin	2	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/step_out.java
backend.step_out#$@$#step_out(java.io.File,int,int,int)#$@$#ini#$@$#PARAMETER	backend.step_out	step_out(java.io.File,int,int,int)	ini	1	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/step_out.java
backend.step_out#$@$#step_out(java.io.File,int,int,int)#$@$#fin#$@$#PARAMETER	backend.step_out	step_out(java.io.File,int,int,int)	fin	2	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/step_out.java
backend.step_out#$@$#step_out(java.io.File,int,int,int)#$@$#backend.StepRun.ini_line#$@$#FIELD	backend.StepRun	null	ini_line	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/StepRun.java
backend.step_out#$@$#step_out(java.io.File,int,int,int)#$@$#backend.StepRun.ini_line#$@$#FIELD	backend.StepRun	null	ini_line	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/StepRun.java
backend.step_out#$@$#step_out(java.io.File,int,int,int)#$@$#ini#$@$#PARAMETER	backend.step_out	step_out(java.io.File,int,int,int)	ini	1	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/step_out.java
backend.step_out#$@$#step_out(java.io.File,int,int,int)#$@$#f#$@$#PARAMETER	backend.step_out	step_out(java.io.File,int,int,int)	f	3	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/step_out.java
backend.step_out#$@$#run()#$@$#scanStart#$@$#METHOD	backend.step_out	scanStart()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/step_out.java
backend.step_out#$@$#run()#$@$#Logger.getLogger(step_out.class.getName()).log#$@$#METHOD	java.util.logging.Logger	log(java.util.logging.Level,java.lang.String,java.lang.Throwable)	null	null	null
backend.step_out#$@$#run()#$@$#Logger.getLogger#$@$#METHOD	java.util.logging.Logger	getLogger(java.lang.String)	null	null	null
backend.step_out#$@$#run()#$@$#step_out.class.getName#$@$#METHOD	java.lang.Class	getName()	null	null	null
backend.step_out#$@$#run()#$@$#backend.step_out.class#$@$#FIELD	backend.step_out	null	class	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/step_out.java
backend.step_out#$@$#run()#$@$#java.util.logging.Level.SEVERE#$@$#FIELD	java.util.logging.Level	null	SEVERE	null	null
backend.step_out#$@$#branchToProcedure(java.lang.String)#$@$#new StringTokenizer(strLine, " ,\\t").countTokens#$@$#METHOD	java.util.StringTokenizer	countTokens()	null	null	null
backend.step_out#$@$#branchToProcedure(java.lang.String)#$@$#strLine#$@$#PARAMETER	backend.step_out	branchToProcedure(java.lang.String)	strLine	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/step_out.java
backend.step_out#$@$#branchToProcedure(java.lang.String)#$@$#strLine.toUpperCase().contains#$@$#METHOD	java.lang.String	contains(java.lang.CharSequence)	null	null	null
backend.step_out#$@$#branchToProcedure(java.lang.String)#$@$#strLine.toUpperCase#$@$#METHOD	java.lang.String	toUpperCase()	null	null	null
backend.step_out#$@$#branchToProcedure(java.lang.String)#$@$#strLine#$@$#PARAMETER	backend.step_out	branchToProcedure(java.lang.String)	strLine	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/step_out.java
backend.step_out#$@$#scanStart()#$@$#backend.step_out.br#$@$#FIELD	backend.step_out	null	br	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/step_out.java
backend.step_out#$@$#scanStart()#$@$#backend.ScanFile.pos#$@$#FIELD	backend.ScanFile	null	pos	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/ScanFile.java
backend.step_out#$@$#scanStart()#$@$#ScanFile.br.getFilePointer#$@$#METHOD	java.io.RandomAccessFile	getFilePointer()	null	null	null
backend.step_out#$@$#scanStart()#$@$#backend.ScanFile.br#$@$#FIELD	backend.ScanFile	null	br	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/ScanFile.java
backend.step_out#$@$#scanStart()#$@$#backend.step_out.initial_pos#$@$#FIELD	backend.step_out	null	initial_pos	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/step_out.java
backend.step_out#$@$#scanStart()#$@$#ScanFile.pos.intValue#$@$#METHOD	java.lang.Long	intValue()	null	null	null
backend.step_out#$@$#scanStart()#$@$#backend.ScanFile.pos#$@$#FIELD	backend.ScanFile	null	pos	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/ScanFile.java
backend.step_out#$@$#scanStart()#$@$#Register.r[16].b#$@$#FIELD	backend.Register_spec	null	b	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/Register_spec.java
backend.step_out#$@$#scanStart()#$@$#backend.Register.r#$@$#FIELD	backend.Register	null	r	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/Register.java
backend.step_out#$@$#scanStart()#$@$#ScanFile.pos.intValue#$@$#METHOD	java.lang.Long	intValue()	null	null	null
backend.step_out#$@$#scanStart()#$@$#backend.ScanFile.pos#$@$#FIELD	backend.ScanFile	null	pos	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/ScanFile.java
backend.step_out#$@$#scanStart()#$@$#backend.ScanFile.current_line#$@$#FIELD	backend.ScanFile	null	current_line	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/ScanFile.java
backend.step_out#$@$#scanStart()#$@$#ScanFile.getLineNumber#$@$#METHOD	backend.ScanFile	getLineNumber(javax.swing.JEditorPane,int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/ScanFile.java
backend.step_out#$@$#scanStart()#$@$#frontend.FrontEnd.activepane#$@$#FIELD	frontend.FrontEnd	null	activepane	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.step_out#$@$#scanStart()#$@$#backend.step_out.initial_pos#$@$#FIELD	backend.step_out	null	initial_pos	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/step_out.java
backend.step_out#$@$#scanStart()#$@$#backend.ScanFile.call_count#$@$#FIELD	backend.ScanFile	null	call_count	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/ScanFile.java
backend.step_out#$@$#scanStart()#$@$#exitCondition#$@$#FIELD	backend.step_out	null	exitCondition	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/step_out.java
backend.step_out#$@$#scanStart()#$@$#ScanFile.br.readLine#$@$#METHOD	java.io.RandomAccessFile	readLine()	null	null	null
backend.step_out#$@$#scanStart()#$@$#backend.ScanFile.br#$@$#FIELD	backend.ScanFile	null	br	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/ScanFile.java
backend.step_out#$@$#scanStart()#$@$#backend.ScanFile.pos#$@$#FIELD	backend.ScanFile	null	pos	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/ScanFile.java
backend.step_out#$@$#scanStart()#$@$#ScanFile.br.getFilePointer#$@$#METHOD	java.io.RandomAccessFile	getFilePointer()	null	null	null
backend.step_out#$@$#scanStart()#$@$#backend.ScanFile.br#$@$#FIELD	backend.ScanFile	null	br	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/ScanFile.java
