enc_class	enc_method	exp	kind	class	method	param	index	uri
hugo.project.hospital.NeedleDevice#$@$#NeedleDevice(int)#$@$#initialAmount#$@$#PARAMETER	hugo.project.hospital.NeedleDevice	NeedleDevice(int)	initialAmount	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/NeedleDevice.java
hugo.project.hospital.Device#$@$#reduceAmount(int)#$@$#reduceNum#$@$#PARAMETER	hugo.project.hospital.Device	reduceAmount(int)	reduceNum	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Device.java
hugo.project.hospital.Device#$@$#addAmount(int)#$@$#addNum#$@$#PARAMETER	hugo.project.hospital.Device	addAmount(int)	addNum	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Device.java
hugo.project.hospital.Device#$@$#addAmount(int)#$@$#amount#$@$#FIELD	hugo.project.hospital.Device	null	amount	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Device.java
hugo.project.hospital.Device#$@$#addAmount(int)#$@$#addNum#$@$#PARAMETER	hugo.project.hospital.Device	addAmount(int)	addNum	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Device.java
hugo.project.hospital.Device#$@$#toString()#$@$#getType#$@$#METHOD	hugo.project.hospital.Device	getType()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Device.java
hugo.project.hospital.Device#$@$#getType()#$@$#type#$@$#FIELD	hugo.project.hospital.Device	null	type	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Device.java
hugo.project.hospital.Device#$@$#getAmount()#$@$#amount#$@$#FIELD	hugo.project.hospital.Device	null	amount	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Device.java
hugo.project.hospital.Device#$@$#equals(hugo.project.hospital.Device)#$@$#getType().equals#$@$#METHOD	java.lang.String	equals(java.lang.Object)	null	null	null
hugo.project.hospital.Device#$@$#equals(hugo.project.hospital.Device)#$@$#getType#$@$#METHOD	hugo.project.hospital.Device	getType()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Device.java
hugo.project.hospital.Device#$@$#equals(hugo.project.hospital.Device)#$@$#device.getType#$@$#METHOD	hugo.project.hospital.Device	getType()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Device.java
hugo.project.hospital.Device#$@$#equals(hugo.project.hospital.Device)#$@$#device#$@$#PARAMETER	hugo.project.hospital.Device	equals(hugo.project.hospital.Device)	device	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Device.java
hugo.project.hospital.Device#$@$#compareTo(hugo.project.hospital.Device)#$@$#getType().compareTo#$@$#METHOD	java.lang.String	compareTo(java.lang.String)	null	null	null
hugo.project.hospital.Device#$@$#compareTo(hugo.project.hospital.Device)#$@$#getType#$@$#METHOD	hugo.project.hospital.Device	getType()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Device.java
hugo.project.hospital.Device#$@$#compareTo(hugo.project.hospital.Device)#$@$#device.getType#$@$#METHOD	hugo.project.hospital.Device	getType()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Device.java
hugo.project.hospital.Device#$@$#compareTo(hugo.project.hospital.Device)#$@$#device#$@$#PARAMETER	hugo.project.hospital.Device	compareTo(hugo.project.hospital.Device)	device	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Device.java
hugo.project.hospital.StethoscopeDevice#$@$#StethoscopeDevice(int)#$@$#initialAmount#$@$#PARAMETER	hugo.project.hospital.StethoscopeDevice	StethoscopeDevice(int)	initialAmount	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/StethoscopeDevice.java
hugo.project.hospital.Hospital$Patient#$@$#Patient(java.lang.String,int,boolean)#$@$#this.name#$@$#FIELD	hugo.project.hospital.Hospital$Patient	null	name	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$Patient#$@$#Patient(java.lang.String,int,boolean)#$@$#this#$@$#FIELD	hugo.project.hospital.Hospital$Patient	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$Patient#$@$#Patient(java.lang.String,int,boolean)#$@$#name#$@$#PARAMETER	hugo.project.hospital.Hospital$Patient	Patient(java.lang.String,int,boolean)	name	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$Patient#$@$#Patient(java.lang.String,int,boolean)#$@$#this.severity#$@$#FIELD	hugo.project.hospital.Hospital$Patient	null	severity	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$Patient#$@$#Patient(java.lang.String,int,boolean)#$@$#this#$@$#FIELD	hugo.project.hospital.Hospital$Patient	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$Patient#$@$#Patient(java.lang.String,int,boolean)#$@$#severity#$@$#PARAMETER	hugo.project.hospital.Hospital$Patient	Patient(java.lang.String,int,boolean)	severity	1	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$Patient#$@$#Patient(java.lang.String,int,boolean)#$@$#this.wantsSingleRoom#$@$#FIELD	hugo.project.hospital.Hospital$Patient	null	wantsSingleRoom	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$Patient#$@$#Patient(java.lang.String,int,boolean)#$@$#this#$@$#FIELD	hugo.project.hospital.Hospital$Patient	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$Patient#$@$#Patient(java.lang.String,int,boolean)#$@$#wantsSingleRoom#$@$#PARAMETER	hugo.project.hospital.Hospital$Patient	Patient(java.lang.String,int,boolean)	wantsSingleRoom	2	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$Patient#$@$#getName()#$@$#this.name#$@$#FIELD	hugo.project.hospital.Hospital$Patient	null	name	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$Patient#$@$#getName()#$@$#this#$@$#FIELD	hugo.project.hospital.Hospital$Patient	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$Patient#$@$#getSeverity()#$@$#this.severity#$@$#FIELD	hugo.project.hospital.Hospital$Patient	null	severity	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$Patient#$@$#getSeverity()#$@$#this#$@$#FIELD	hugo.project.hospital.Hospital$Patient	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$Patient#$@$#wantsSingleRoom()#$@$#this.wantsSingleRoom#$@$#FIELD	hugo.project.hospital.Hospital$Patient	null	wantsSingleRoom	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$Patient#$@$#wantsSingleRoom()#$@$#this#$@$#FIELD	hugo.project.hospital.Hospital$Patient	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$Patient#$@$#compareTo(hugo.project.hospital.Hospital.Patient)#$@$#name.compareTo#$@$#METHOD	java.lang.String	compareTo(java.lang.String)	null	null	null
hugo.project.hospital.Hospital$Patient#$@$#compareTo(hugo.project.hospital.Hospital.Patient)#$@$#name#$@$#FIELD	hugo.project.hospital.Hospital$Patient	null	name	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$Patient#$@$#compareTo(hugo.project.hospital.Hospital.Patient)#$@$#o.getName#$@$#METHOD	hugo.project.hospital.Hospital$Patient	getName()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$Patient#$@$#compareTo(hugo.project.hospital.Hospital.Patient)#$@$#o#$@$#PARAMETER	hugo.project.hospital.Hospital$Patient	compareTo(hugo.project.hospital.Hospital.Patient)	o	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$Patient#$@$#toString()#$@$#getName#$@$#METHOD	hugo.project.hospital.Hospital$Patient	getName()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$Reception$PatientInfo#$@$#PatientInfo(hugo.project.hospital.Hospital.Patient,hugo.project.hospital.Hospital.Department,hugo.project.hospital.Hospital.Department.Room)#$@$#this.patient#$@$#FIELD	hugo.project.hospital.Hospital$Reception$PatientInfo	null	patient	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$Reception$PatientInfo#$@$#PatientInfo(hugo.project.hospital.Hospital.Patient,hugo.project.hospital.Hospital.Department,hugo.project.hospital.Hospital.Department.Room)#$@$#this#$@$#FIELD	hugo.project.hospital.Hospital$Reception$PatientInfo	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$Reception$PatientInfo#$@$#PatientInfo(hugo.project.hospital.Hospital.Patient,hugo.project.hospital.Hospital.Department,hugo.project.hospital.Hospital.Department.Room)#$@$#p#$@$#PARAMETER	hugo.project.hospital.Hospital$Reception$PatientInfo	PatientInfo(hugo.project.hospital.Hospital.Patient,hugo.project.hospital.Hospital.Department,hugo.project.hospital.Hospital.Department.Room)	p	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$Reception$PatientInfo#$@$#PatientInfo(hugo.project.hospital.Hospital.Patient,hugo.project.hospital.Hospital.Department,hugo.project.hospital.Hospital.Department.Room)#$@$#this.department#$@$#FIELD	hugo.project.hospital.Hospital$Reception$PatientInfo	null	department	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$Reception$PatientInfo#$@$#PatientInfo(hugo.project.hospital.Hospital.Patient,hugo.project.hospital.Hospital.Department,hugo.project.hospital.Hospital.Department.Room)#$@$#this#$@$#FIELD	hugo.project.hospital.Hospital$Reception$PatientInfo	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$Reception$PatientInfo#$@$#PatientInfo(hugo.project.hospital.Hospital.Patient,hugo.project.hospital.Hospital.Department,hugo.project.hospital.Hospital.Department.Room)#$@$#dep#$@$#PARAMETER	hugo.project.hospital.Hospital$Reception$PatientInfo	PatientInfo(hugo.project.hospital.Hospital.Patient,hugo.project.hospital.Hospital.Department,hugo.project.hospital.Hospital.Department.Room)	dep	1	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$Reception$PatientInfo#$@$#PatientInfo(hugo.project.hospital.Hospital.Patient,hugo.project.hospital.Hospital.Department,hugo.project.hospital.Hospital.Department.Room)#$@$#this.room#$@$#FIELD	hugo.project.hospital.Hospital$Reception$PatientInfo	null	room	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$Reception$PatientInfo#$@$#PatientInfo(hugo.project.hospital.Hospital.Patient,hugo.project.hospital.Hospital.Department,hugo.project.hospital.Hospital.Department.Room)#$@$#this#$@$#FIELD	hugo.project.hospital.Hospital$Reception$PatientInfo	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$Reception$PatientInfo#$@$#PatientInfo(hugo.project.hospital.Hospital.Patient,hugo.project.hospital.Hospital.Department,hugo.project.hospital.Hospital.Department.Room)#$@$#room#$@$#PARAMETER	hugo.project.hospital.Hospital$Reception$PatientInfo	PatientInfo(hugo.project.hospital.Hospital.Patient,hugo.project.hospital.Hospital.Department,hugo.project.hospital.Hospital.Department.Room)	room	2	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$Reception$PatientInfo#$@$#getName()#$@$#patient.getName#$@$#METHOD	hugo.project.hospital.Hospital$Patient	getName()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$Reception$PatientInfo#$@$#getName()#$@$#patient#$@$#FIELD	hugo.project.hospital.Hospital$Reception$PatientInfo	null	patient	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$Reception$PatientInfo#$@$#getPatient()#$@$#patient#$@$#FIELD	hugo.project.hospital.Hospital$Reception$PatientInfo	null	patient	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$Reception$PatientInfo#$@$#getDepartment()#$@$#department#$@$#FIELD	hugo.project.hospital.Hospital$Reception$PatientInfo	null	department	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$Reception$PatientInfo#$@$#getRoom()#$@$#room#$@$#FIELD	hugo.project.hospital.Hospital$Reception$PatientInfo	null	room	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$Reception$PatientInfo#$@$#compareTo(hugo.project.hospital.Hospital.Reception.PatientInfo)#$@$#patient.name.compareTo#$@$#METHOD	java.lang.String	compareTo(java.lang.String)	null	null	null
hugo.project.hospital.Hospital$Reception$PatientInfo#$@$#compareTo(hugo.project.hospital.Hospital.Reception.PatientInfo)#$@$#patient.name#$@$#FIELD	hugo.project.hospital.Hospital$Patient	null	name	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$Reception$PatientInfo#$@$#compareTo(hugo.project.hospital.Hospital.Reception.PatientInfo)#$@$#patient#$@$#FIELD	hugo.project.hospital.Hospital$Reception$PatientInfo	null	patient	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$Reception$PatientInfo#$@$#compareTo(hugo.project.hospital.Hospital.Reception.PatientInfo)#$@$#o.getPatient().getName#$@$#METHOD	hugo.project.hospital.Hospital$Patient	getName()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$Reception$PatientInfo#$@$#compareTo(hugo.project.hospital.Hospital.Reception.PatientInfo)#$@$#o.getPatient#$@$#METHOD	hugo.project.hospital.Hospital$Reception$PatientInfo	getPatient()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$Reception$PatientInfo#$@$#compareTo(hugo.project.hospital.Hospital.Reception.PatientInfo)#$@$#o#$@$#PARAMETER	hugo.project.hospital.Hospital$Reception$PatientInfo	compareTo(hugo.project.hospital.Hospital.Reception.PatientInfo)	o	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$Reception#$@$#Reception()#$@$#register#$@$#FIELD	hugo.project.hospital.Hospital$Reception	null	register	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$Reception#$@$#getPatientInfo(java.lang.String)#$@$#register.BfsTraversalIterable#$@$#METHOD	hugo.util.structure.BinaryTree	BfsTraversalIterable()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/BinaryTree.java
hugo.project.hospital.Hospital$Reception#$@$#getPatientInfo(java.lang.String)#$@$#register#$@$#FIELD	hugo.project.hospital.Hospital$Reception	null	register	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$Reception#$@$#getPatientInfo(java.lang.String)#$@$#info.getName().equals#$@$#METHOD	java.lang.String	equals(java.lang.Object)	null	null	null
hugo.project.hospital.Hospital$Reception#$@$#getPatientInfo(java.lang.String)#$@$#info.getName#$@$#METHOD	hugo.project.hospital.Hospital$Reception$PatientInfo	getName()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$Reception#$@$#getPatientInfo(java.lang.String)#$@$#name#$@$#PARAMETER	hugo.project.hospital.Hospital$Reception	getPatientInfo(java.lang.String)	name	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
